IRIS,IRIS_NAME,Nb_BT
12360000,Marsonnas,31
12370000,Martignat,18
12380000,Massieux,18
12390000,Massignieu-de-Rives,17
12400000,Matafelon-Granges,22
12410000,Meillonnas,26
12420000,Mérignat,2
12430000,Messimy-sur-Saône,15
12440101,l'Horloge,17
12440102,La Colline,27
12440103,l'Etang,14
12450000,Bohas-Meyriat-Rignat,17
12460000,Mézériat,40
12470000,Mijoux,25
12490101,Est,15
12490102,Centre,15
12490103,Ouest,39
12500000,Misérieux,18
12520000,Mogneneins,16
12540000,Montagnat,37
12550000,Montagnieu,8
12570000,Montanges,9
12580000,Montceaux,23
12590000,Montcet,13
12600000,Le Montellier,15
12620101,Nord,48
12620102,Sud,12
12630000,Montmerle-sur-Saône,27
12640000,Montracol,35
12650000,Montréal-la-Cluse,33
12660000,Montrevel-en-Bresse,32
12670000,Nurieux-Volognat,20
12680000,Murs-et-Gélignieux,8
12690000,Nantua,29
12720000,Neuville-les-Dames,48
12730000,Neuville-sur-Ain,27
12740000,Les Neyrolles,11
12750000,Neyron,22
12760000,Niévroz,18
12770000,Nivollet-Montgriffon,3
12790000,Oncieu,3
12800000,Ordonnaz,6
12810000,Ornex,32
12820000,Outriaz,4
12830102,Zus Centre,7
12830103,Zus Nord Est,8
12830104,Zus Ouest,5
12830201,Ville Sud,20
12830202,Ville Est,13
12830203,Nierme et Geilles,10
12830301,Ville Ouest,19
12830302,Parc Industriel Nord,4
12830303,Ville Nord,15
12830304,Exterieur Est,13
12830305,Veyziat,24
12830306,Bouvent,2
12840000,Ozan,12
12850000,Parcieux,12
12860000,Parves et Nattages,19
12880000,Péron,28
12890101,Centre,18
12890102,Peripherie,37
12900000,Pérouges,30
12910000,Perrex,21
12930000,Peyriat,2
12940000,Peyrieu,15
12950000,Peyzieux-sur-Saône,10
12960000,Pirajoux,20
12970000,Pizay,9
12980000,Plagne,4
12990000,Le Plantay,25
13010000,Polliat,47
13020000,Pollieu,5
13030000,Poncin,28
13040000,Pont-d'Ain,31
13050000,Pont-de-Vaux,23
13060000,Pont-de-Veyle,12
13070000,Port,10
13080000,Pougny,13
13090000,Pouillat,3
13100000,Prémeyzel,4
13110000,Prémillieu,2
13130000,Prévessin-Moëns,72
13140000,Priay,26
13160000,Pugieu,4
13170000,Ramasse,6
13190000,Relevant,18
13200000,Replonges,38
13210000,Revonnas,12
13220000,Reyrieux,41
13230000,Reyssouze,14
13250000,Rignieux-le-Franc,25
13280000,Romans,33
13290000,Rossillon,6
13300000,Ruffieu,7
13310000,Saint-Alban,5
13320000,Saint-André-de-Bâgé,11
13340000,Saint-André-d'Huiriat,24
13350000,Saint-André-le-Bouchoux,11
13360000,Saint-André-sur-Vieux-Jonc,44
13370000,Saint-Bénigne,28
13380000,Groslée-Saint-Benoit,25
13390000,Saint-Bernard,13
13410000,Saint-Champ,4
13420000,Sainte-Croix,20
13430000,Saint-Cyr-sur-Menthon,39
13440000,Saint-Denis-lès-Bourg,57
13450000,Saint-Denis-en-Bugey,13
13460000,Saint-Didier-d'Aussiat,30
13470000,Saint-Didier-de-Formans,20
13480000,Saint-Didier-sur-Chalaronne,45
13490000,Saint-Éloi,15
13500000,Saint-Étienne-du-Bois,61
13510000,Saint-Étienne-sur-Chalaronne,36
13520000,Saint-Étienne-sur-Reyssouze,23
13540101,Ouest,39
13540102,Est,27
13540103,Centre,11
13550000,Saint-Genis-sur-Menthon,18
13560000,Saint-Georges-sur-Renon,7
13570000,Saint-Germain-de-Joux,13
13580000,Saint-Germain-les-Paroisses,8
13590000,Saint-Germain-sur-Renon,22
13600000,Saint-Jean-de-Gonville,18
13610000,Saint-Jean-de-Niost,25
13630000,Saint-Jean-le-Vieux,23
13640000,Saint-Jean-sur-Reyssouze,39
13650000,Saint-Jean-sur-Veyle,24
13660000,Sainte-Julie,11
13670000,Saint-Julien-sur-Reyssouze,17
13680000,Saint-Julien-sur-Veyle,22
13690000,Saint-Just,11
13700000,Saint-Laurent-sur-Saône,7
13720000,Saint-Martin-de-Bavel,6
13730000,Saint-Martin-du-Frêne,22
13740000,Saint-Martin-du-Mont,32
13750000,Saint-Martin-le-Châtel,25
13760000,Saint-Maurice-de-Beynost,20
13780000,Saint-Maurice-de-Gourdans,37
13790000,Saint-Maurice-de-Rémens,10
13800000,Saint-Nizier-le-Bouchoux,39
13810000,Saint-Nizier-le-Désert,39
13830000,Saint-Paul-de-Varax,36
13840000,Saint-Rambert-en-Bugey,34
13850000,Saint-Rémy,20
13860000,Saint-Sorlin-en-Bugey,14
13870000,Saint-Sulpice,6
13880000,Saint-Trivier-de-Courtes,33
13890000,Saint-Trivier-sur-Moignans,72
13900000,Saint-Vulbas,44
13910000,Salavre,8
13920000,Samognat,8
13960000,Sault-Brénaz,13
13970000,Sauverny,12
13990000,Ségny,15
14000000,Seillonnaz,4
14010000,Sergy,15
14020000,Sermoyer,17
14030000,Serrières-de-Briord,12
14040000,Serrières-sur-Ain,12
14050000,Servas,30
14060000,Servignat,8
14070000,Seyssel,14
14080000,Simandre-sur-Suran,18
14100000,Sonthonnax-la-Montagne,7
14110000,Souclin,5
14120000,Sulignat,25
14130000,Surjoux,8
14140000,Sutrieu,11
14150000,Talissieu,9
14160000,Tenay,14
14170000,Thézillieu,16
14180000,Thil,15
14190000,Thoiry,55
14200000,Thoissey,9
14210000,Torcieu,12
14220000,Tossiat,21
14250000,La Tranclière,12
14260000,Val-Revermont,58
14270101,Ouest,21
14270102,Est,22
14280000,Valeins,5
14290000,Vandeins,14
14300000,Varambon,10
14310000,Vaux-en-Bugey,13
14320000,Verjon,11
14330000,Vernoux,15
14340000,Versailleux,25
14350000,Versonnex,18
14360000,Vesancy,8
14370000,Vescours,13
14390000,Vésines,4
14410000,Vieu-d'Izenave,17
14420000,Vieu,11
14430000,Villars-les-Dombes,50
14440000,Villebois,15
14450000,Villemotier,20
14460000,Villeneuve,1
14470000,Villereversure,20
14480000,Villes,5
14490000,Villette-sur-Ain,26
14500000,Villieu-Loyes-Mollon,43
14510101,Nord et Ouest,68
14510102,Centre et Sud-Est,51
14520000,Virieu-le-Grand,15
14530000,Virieu-le-Petit,7
14540000,Virignin,22
14560000,Vongnes,2
14570000,Vonnas,44
20010000,Abbécourt,10
20020000,Achery,8
20040000,Agnicourt-et-Séchelles,6
20050000,Aguilcourt,5
20060000,Aisonville-et-Bernoville,5
20070000,Aizelles,1
20080000,Aizy-Jouy,12
20090000,Alaincourt,6
20100000,Allemant,8
20110000,Ambleny,29
20130000,Amifontaine,10
20140000,Amigny-Rouy,15
20150000,Ancienville,2
20160000,Andelain,2
20170000,Anguilcourt-le-Sart,7
20180000,Anizy-le-Château,25
20190000,Annois,7
20210000,Archon,6
20220000,Arcy-Sainte-Restitue,6
20230000,Armentières-sur-Ourcq,5
20240000,Arrancy,3
20250000,Artemps,5
20270000,Assis-sur-Serre,7
20280000,Athies-sous-Laon,33
20290000,Attilly,6
20300000,Aubencheul-aux-Bois,3
20320000,Aubigny-aux-Kaisnes,4
20330000,Aubigny-en-Laonnois,4
20350000,Audigny,9
20360000,Augy,3
20370000,Aulnois-sous-Laon,21
20380000,Les Autels,2
20390000,Autremencourt,7
20410000,Autreville,7
20420000,Azy-sur-Marne,8
20460000,Barenton-Bugny,14
20470000,Barenton-Cel,6
20480000,Barenton-sur-Serre,5
20490000,Barisis-aux-Bois,13
20500000,Barzy-en-Thiérache,9
20510000,Barzy-sur-Marne,7
20520000,Bassoles-Aulers,5
20530000,Vallées en Champagne,36
20560000,Beaumont-en-Beine,1
20570000,Beaurevoir,22
20590000,Beautor,31
20600000,Beauvois-en-Vermandois,4
20610000,Becquigny,7
20620000,Belleau,4
20630000,Bellenglise,6
20640000,Belleu,6
20650000,Bellicourt,12
20660000,Benay,3
20670000,Bergues-sur-Sambre,8
20680000,Berlancourt,2
20690000,Berlise,2
20700000,Bernot,12
20710000,Berny-Rivière,1
20720000,Berrieux,3
20730000,Berry-au-Bac,15
20740000,Bertaucourt-Epourdon,12
20750000,Berthenicourt,1
20760000,Bertricourt,2
20770000,Berzy-le-Sec,5
20780000,Besmé,3
20800000,Besny-et-Loizy,9
20810000,Béthancourt-en-Vaux,5
20820000,Beugneux,2
20830000,Beuvardes,15
20840000,Bézu-le-Guéry,11
20850000,Bézu-Saint-Germain,22
20860000,Bichancourt,11
20880000,Bièvres,3
20890000,Billy-sur-Aisne,5
20900000,Billy-sur-Ourcq,7
20930000,Blérancourt,19
20940000,Blesmes,17
20950000,Bohain-en-Vermandois,71
20960000,Bois-lès-Pargny,3
20970000,Boncourt,9
20980000,Bonneil,7
20990000,Bonnesvalyn,2
21000000,Bony,4
21010000,Bosmont-sur-Serre,6
21020000,Bouconville-Vauclair,7
21030000,Boué,21
21050000,Bouresches,4
21060000,Bourg-et-Comin,3
21070000,Bourguignon-sous-Coucy,2
21080000,Bourguignon-sous-Montbavin,3
21090000,La Bouteille,6
21100000,Braine,31
21110000,Brancourt-en-Laonnois,12
21120000,Brancourt-le-Grand,13
21140000,Brasles,23
21150000,Braye-en-Laonnois,7
21170000,Bray-Saint-Christophe,1
21190000,Brécy,10
21210000,Breny,7
21220000,Brie,2
21230000,Brissay-Choigny,8
21240000,Brissy-Hamégicourt,14
21250000,Brumetz,5
21260000,Brunehamel,11
21270000,Bruyères-sur-Fère,7
21280000,Bruyères-et-Montbérault,19
21290000,Bruys,2
21310000,Bucy-le-Long,32
21320000,Bucy-lès-Cerny,2
21330000,Bucy-lès-Pierrepont,7
21340000,Buire,7
21350000,Buironfosse,32
21370000,Bussiares,5
21390000,Caillouël-Crépigny,10
21400000,Camelin,10
21410000,La Capelle,36
21420000,Castres,3
21430000,Le Catelet,2
21440000,Caulaincourt,2
21450000,Caumont,9
21460000,Celles-lès-Condé,2
21480000,Celles-sur-Aisne,8
21490000,Cerizy,2
21500000,Cerny-en-Laonnois,2
21510000,Cerny-lès-Bucy,2
21520000,Cerseuil,2
21530000,Cessières,4
21550000,Chaillevois,4
21560000,Chalandry,5
21570000,Chambry,28
21580000,Chamouille,9
21590000,Champs,14
21600000,Chaourse,11
21620000,La Chapelle-sur-Chézy,8
21630000,Charly-sur-Marne,32
21640000,Le Charmel,10
21650000,Charmes,15
21660000,Chartèves,6
21670000,Chassemy,8
21680101,centre,31
21680201,Chesneaux,19
21680301,Zi,18
21680401,Mare Aubry,15
21680501,Vaucrises,11
21680601,Gerbrois-St Martin-Le Buisson-Vincelles,15
21680701,Blanchard,26
21690000,Châtillon-lès-Sons,6
21700000,Châtillon-sur-Oise,2
21710000,Chaudardes,2
21720000,Chaudun,7
21730101,Nord-Ouest,22
21730201,Sud-Ouest,59
21730301,Nord-Est,36
21740000,Chavignon,18
21760000,Chavonne,4
21770000,Chérêt,3
21780000,Chermizy-Ailles,5
21790000,Chéry-Chartreuve,11
21800000,Chéry-lès-Pouilly,12
21810000,Chéry-lès-Rozoy,2
21820000,Chevennes,3
21830000,Chevregny,3
21840000,Chevresis-Monceau,9
21850000,Chézy-en-Orxois,10
21860000,Chézy-sur-Marne,45
21870000,Chierry,14
21880000,Chigny,10
21890000,Chivres-en-Laonnois,7
21900000,Chivres-Val,9
21910000,Chivy-lès-Étouvelles,10
21920000,Chouy,11
21930000,Cierges,3
21940000,Cilly,4
21960000,Clacy-et-Thierret,8
21970000,Clairfontaine,24
21990000,Clastres,14
22000000,Clermont-les-Fermes,11
22010000,C?uvres-et-Valsery,12
22030000,Coincy,23
22050000,Colligis-Crandelain,5
22060000,Colonfay,2
22070000,Commenchon,4
22080000,Concevreux,1
22090000,Condé-en-Brie,12
22100000,Condé-sur-Aisne,6
22110000,Condé-sur-Suippe,4
22120000,Condren,15
22130000,Connigis,6
22140000,Contescourt,2
22150000,Corbeny,15
22160000,Corcy,9
22170000,Coucy-le-Château-Auffrique,22
22180000,Coucy-lès-Eppes,17
22190000,Coucy-la-Ville,8
22200000,Coulonges-Cohan,14
22210000,Coupru,3
22220000,Courbes,1
22230000,Courboin,13
22250000,Courchamps,2
22260000,Courmelles,2
22270000,Courmont,9
22280000,Courtemont-Varennes,9
22290000,Courtrizy-et-Fussigny,2
22310000,Couvron-et-Aumencourt,14
22320000,Coyolles,5
22330000,Cramaille,4
22340000,Craonne,2
22350000,Craonnelle,4
22370000,Crécy-sur-Serre,21
22380000,Crépy,37
22390000,Crézancy,15
22400000,Croix-Fonsomme,6
22410000,La Croix-sur-Ourcq,4
22420000,Crouttes-sur-Marne,6
22430000,Crouy,42
22440000,Crupilly,3
22450000,Cuffies,19
22460000,Cugny,13
22480000,Cuirieux,2
22500000,Cuiry-lès-Chaudardes,4
22510000,Cuiry-lès-Iviers,2
22520000,Cuissy-et-Geny,5
22540000,Cutry,4
22570000,Dallon,8
22580000,Dammard,11
22590000,Dampleux,9
22600000,Danizy,10
22610000,Dercy,7
22620000,Deuillet,6
22640000,Dizy-le-Gros,17
22650000,Dohis,2
22660000,Dolignon,3
22670000,Dommiers,7
22680000,Domptin,8
22690000,Dorengt,9
22700000,Douchy,3
22710000,Dravegny,8
22720000,Droizy,2
22730000,Dury,7
22740000,Ébouleau,4
22750000,Effry,6
22760000,Englancourt,6
22790000,Épaux-Bézu,22
22800000,Épieds,17
22810000,L'Épine-aux-Bois,10
22820000,Eppes,12
22830000,Erlon,6
22840000,Erloy,6
22860000,Esquéhéries,39
22870000,Essigny-le-Grand,22
22880000,Essigny-le-Petit,7
22890000,Essises,15
22900000,Essômes-sur-Marne,49
22910000,Estrées,7
22920000,Étampes-sur-Marne,15
22930000,Étaves-et-Bocquiaux,10
22940000,Étouvelles,2
22950000,Étréaupont,28
22960000,Étreillers,13
22970000,Étrépilly,3
22980000,Étreux,20
22990000,Évergnicourt,5
23010000,Faucoucourt,5
23020000,Faverolles,10
23030000,Fayet,22
23040000,La Fère,25
23050000,Fère-en-Tardenois,56
23060000,La Ferté-Chevresis,13
