Date,ENT,PRO,RES,Agriculture,Industrie,Tertiaire,NonAffecte
2018-09-09 04:30:00+02:00,0.5905231573670633,0.6780429082137384,0.40050639062605065,0.795571903906498,0.5767261867672485,0.6683424674670965,0.6459878559614513
2018-09-09 05:00:00+02:00,0.5872811516752169,0.6770091994415404,0.3954033945070153,0.799704510384079,0.5764082630419375,0.6754167957686362,0.6446376705519301
2018-09-09 05:30:00+02:00,0.5877212782659299,0.6741380751008025,0.3963684570066797,0.7944364908874819,0.5755371708087361,0.6800320398268473,0.641770353478071
2018-09-09 06:00:00+02:00,0.5819649068188163,0.6753103297738028,0.4037354599717099,0.8006843287523571,0.5769760240167302,0.6885557821778946,0.6468005829004544
2018-09-09 06:30:00+02:00,0.5822375758162763,0.6260996988062313,0.4013886244054246,0.8095591421502191,0.5791820753559571,0.7023147620746413,0.6495189532360378
2018-09-09 07:00:00+02:00,0.5794688880110167,0.5880371570476157,0.4224467372630642,0.829648696684112,0.5832484438672929,0.7182530062556176,0.6489985780505131
2018-09-09 07:30:00+02:00,0.567787019619221,0.5697785151326803,0.44429204129318617,0.8370127529280621,0.5875874459305053,0.7291877151838427,0.649337539389518
2018-09-09 08:00:00+02:00,0.5724792013970209,0.5900678548849518,0.4845172731054668,0.8463189749502827,0.5941500766926162,0.7442108586580616,0.6558024396369125
2018-09-09 08:30:00+02:00,0.5743692038509106,0.6004872932016134,0.5413934685668558,0.848986740961297,0.5989181660227425,0.7574332138839183,0.6639368172104054
2018-09-09 09:00:00+02:00,0.588979812146059,0.6221974786033277,0.6016968655281677,0.8574535748527977,0.6032820792520157,0.7672524552902963,0.6839538460647295
2018-09-09 09:30:00+02:00,0.5921516324243191,0.6343099660412916,0.6501799466559453,0.8557384119705077,0.6072459848207616,0.769898746281487,0.6919581335363236
2018-09-09 10:00:00+02:00,0.6088086925981293,0.6537244295117329,0.6906286940348749,0.8576794518757895,0.6101372365889781,0.7720177197823058,0.6915832470538771
