,Home_190030000,Home_190230000,Home_190310101,Home_190310102,Home_190310103,Home_190310104,Home_190310201,Home_190310202,Home_190310203,Home_190310301,Home_190310302,Home_190310303,Home_190310304,Home_190310401,Home_190310405,Home_190310602,Home_190310603,Home_190310701,Home_190310702,Home_190430000,Home_190570000,Home_190630000,Home_190680000,Home_190720000,Home_190930000,Home_190990000,Home_191050000,Home_191150000,Home_191230101,Home_191230102,Home_191230103,Home_191380000,Home_191500000,Home_191790000,Home_191840000,Home_192020000,Home_192170000,Home_192570000,Home_192730000,Home_192740000,Total,Work_190030000,Work_190230000,Work_190310101,Work_190310102,Work_190310103,Work_190310104,Work_190310201,Work_190310202,Work_190310203,Work_190310301,Work_190310302,Work_190310303,Work_190310304,Work_190310401,Work_190310405,Work_190310602,Work_190310603,Work_190310701,Work_190310702,Work_190430000,Work_190570000,Work_190630000,Work_190680000,Work_190720000,Work_190930000,Work_190990000,Work_191050000,Work_191150000,Work_191230101,Work_191230102,Work_191230103,Work_191380000,Work_191500000,Work_191790000,Work_191840000,Work_192020000,Work_192170000,Work_192570000,Work_192730000,Work_192740000
0,0.0,0.0,0.0,0.0,0.0,2.7361693934440552e-11,2.2680947414118296e-11,1.7158567283971087e-11,0.0,-5.297906980275288e-11,0.0,1.6427026922387303e-10,-1.944258404804442e-12,0.0,-2.748295062475616e-11,0.0,1.1378866928352257e-11,3.29447522426977e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.848499303477349e-11,0.0,0.0,-2.6142678680407852e-12,0.0,0.0,0.0,-3.999920821468589e-13,0.0,0.0,-1.7362933272931484e-12,1.2015461433377931e-09,0.008776378598628199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025248393028138747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006251537887144923
1,0.0,0.0,0.0,0.0,0.0,9.622566568545483e-10,6.009710803248483e-11,2.4986877805752314e-11,1.5891293900883185e-10,1.8158789556603495e-11,0.0,3.3324019834598727e-10,-1.7774484451486202e-12,0.0,5.688183450201365e-12,0.0,-5.5151800660996386e-11,5.99555621340325e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0914780478177743e-11,0.0,1.3071175338133097e-11,3.4425033307927933e-12,0.0,0.0,0.0,-3.6813839552632525e-13,0.0,0.0,2.726445415543087e-11,2.0761018165785243e-09,0.0030492100370044387,0.0,0.0,0.0,0.0,0.0,-3.8750225499172925e-13,-5.967140863630239e-13,0.0,0.0,2.071528349284785e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0029222583905182935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012694773352386898
2,0.0,0.0,0.0,0.0,0.0,1.375440567367806e-09,7.07598336768084e-11,2.742535869252542e-11,1.9702862468283697e-10,4.0564051893599564e-11,0.0,4.145701132825783e-10,-1.4104098335477352e-12,0.0,3.925777544822019e-11,0.0,-5.0484874820374615e-11,7.280944828985846e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5925272233541126e-11,0.0,3.057778187511013e-11,4.2327138779000243e-11,0.0,0.0,0.0,2.3364538749958407e-13,0.0,0.0,6.46875973078788e-11,0.0071999993102551925,0.03959068409343894,0.0,0.0,8.269883048109979e-11,0.0,0.0,-2.870007887958033e-12,-2.5894496049966586e-11,-6.249131489375297e-13,0.0,-2.9177801658424814e-11,8.36175489792879e-12,2.5415939950119326e-12,0.0048109675323413275,0.006113862456574013,0.0,0.0,0.0,0.0067260503457898324,0.0037363260040597364,0.0,0.0,0.0,2.527537570082644e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.6867881576507045e-11,0.006733919597876073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004269556182174225
3,0.0,0.0,0.0,0.0,0.0,1.3537646609468947e-09,6.512250669623246e-11,2.616678668970681e-11,1.8392970525003507e-10,2.851621437585463e-11,0.0,3.712980290759194e-10,-1.6279646359530037e-12,0.0,2.0571108729789902e-11,0.0,-5.3802619681231105e-11,6.611721472812893e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3259505187244142e-11,0.0,2.135305868900695e-11,3.785044617180045e-11,0.0,0.0,0.0,1.220809276723126e-11,0.0,0.0,4.5421444928549163e-11,3.4943801466289856e-09,0.029632006071625548,0.0,3.795820375884667e-10,4.359630043720848e-10,0.0005470724925639075,0.0,-3.0391733538150638e-12,-2.74283300399248e-11,-4.055269521249785e-12,0.0,1.1795758653443259e-08,1.3614661042649107e-11,3.60566630051738e-12,0.007200000073855015,0.0072,0.0,2.3319636305994084e-11,0.0,1.123148850944946e-09,6.971998904273162e-09,0.0,0.0,0.0,2.8677719599361626e-10,0.0,0.0,0.0,0.0,0.0,8.7903662356066e-12,3.84249763186422e-11,2.388940866245847e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014684882874808446
4,8.721046783997209e-12,0.0,0.0,0.0,0.0,1.4021932931757789e-09,6.804530558005947e-11,2.6829988386618737e-11,1.9068668048766998e-10,3.470984971761066e-11,0.0,3.936904451769596e-10,-1.5213626153484166e-12,0.0,2.9994801291610935e-11,0.0,-5.229920494950956e-11,6.961127470761382e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.494880587686146e-11,0.0,2.6099913067006535e-11,3.976388479923179e-11,0.0,0.0,0.0,1.587581851539871e-11,0.0,0.0,5.2784785803546964e-11,0.0002103163120440098,0.042757717086219546,0.0,0.0037515822606569785,4.466438344245015e-10,0.007200000000987762,0.0,-2.9597447695053207e-12,-2.6696068866319814e-11,-4.1637680767533295e-12,0.0,0.003222858640773222,1.1971104872990684e-11,3.4570810531077493e-12,0.007200000027769843,0.0072,0.0,1.2123925450833729e-11,0.0,1.621527746082288e-10,1.8172511030081995e-09,0.0,0.0,0.0,2.9759039716060983e-10,0.0,0.0,0.0,0.0,0.0,1.2068521521013838e-11,4.4236073965508626e-11,0.0029729544929051983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011000000247271977
5,8.494813373886722e-11,0.0,0.0,0.0,0.0,2.0235403586038823e-09,1.1402068337233317e-10,2.8759936528637414e-11,3.2118079429541587e-10,1.5123851013481516e-10,0.0,8.0871133099196e-10,2.2946885578264022e-12,0.0,2.9508535958225965e-10,0.0,2.8586599104888647e-11,1.2426814274089472e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.348566137848186e-11,0.0,1.380191870689945e-10,1.075028058006245e-10,0.0,0.0,0.0,8.359685309057509e-11,0.0,0.0,1.920494136982852e-10,0.007200001387235026,0.06575778492783899,0.0,8.417815460393501e-12,0.0068303583861390035,0.0072000000039430705,1.472124047863812e-10,8.778241196608267e-13,7.13213291985133e-12,1.5635511835523564e-13,5.713961314167024e-12,0.006670515411927929,-3.4564910203343715e-12,7.0834329098708875e-12,0.011867633731350972,0.0019389609724213826,1.185072553155716e-10,2.4149313243984754e-11,0.0,2.4547636058968236e-10,0.00720000005997578,0.0,0.0,0.0,5.693179498288557e-10,0.0,0.0,0.0,0.0,0.0,2.306897884362906e-11,6.622577366678028e-11,9.49185269594365e-12,0.0,0.0,0.0,0.0,0.0,0.0,1.163155197916566e-09,0.0,0.016850307995027243
6,1.9540315341622841e-10,0.0,0.0,0.0,0.0,2.4118916757788833e-09,0.0007055451447049622,1.251112217796672e-11,6.268215927532764e-10,2.078164873210655e-10,0.0,1.1690399774732108e-09,1.1010549094922101e-11,0.0,0.007199999626651771,0.0,1.5250034529047024e-10,1.9199832041340734e-10,4.4110868892828184e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0189187291561595e-10,0.0,4.4891583084131834e-10,2.6218365467369717e-10,0.0,0.0,0.0,2.3340112615153027e-10,0.0,0.0,3.8125980257343155e-10,0.0072000013023755735,0.0669754514434936,0.0,2.3542199678649076e-11,0.007200000389666198,0.007200000011959826,2.801833011213053e-10,6.697395850244342e-12,7.961913357091206e-11,6.436250160773213e-11,1.7695754906727996e-11,3.1793207335578714e-10,6.6741659774313566e-12,2.189079068017842e-11,0.007200002200138021,4.245029969627315e-11,2.508111306145171e-10,4.767389195543722e-11,0.0,4.1884291447760275e-10,0.0014783178111368268,0.0,0.0,0.0,3.6526606451566266e-10,0.0,0.0,0.0,0.0,0.0,0.007161808325031677,0.002585901073901642,1.9699427510704864e-11,1.9812079914413824e-09,0.0,0.0,0.0,0.0,0.0,6.131489069577118e-09,0.0,0.019043858534134803
7,4.1202215440478877e-10,0.0,0.0,0.0,0.0,6.275886654414183e-08,0.003599999866303742,2.154578096657683e-09,0.007199998104968849,7.64281659509348e-10,0.0,0.010443218562058654,3.2757350502202973e-11,0.0,0.007200000105166261,0.0,6.506987939870445e-10,5.285524886651211e-09,1.2169705906964997e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9462967169793347e-10,0.0,2.3431691401837934e-08,7.786850905709414e-10,0.0,0.0,0.0,7.089273958007474e-10,0.0,0.0,1.2510991700715594e-09,0.007200001647069022,0.09783365671669858,0.0,4.092848527207953e-11,0.007200000225871216,0.0010804573184702744,9.719099366361378e-11,2.010099747967961e-11,1.470591763866191e-10,1.307873291714773e-10,3.7388727496157745e-11,8.188380989874334e-10,5.571688376780737e-11,4.816948131760578e-11,0.011138808760724688,2.1303694666880448e-10,1.4311115445381346e-09,-3.143072092825614e-12,0.0,1.1833300572018566e-09,0.011081497957300027,0.0,0.0,0.0,0.002396643516280768,0.0,0.0,0.0,0.0,0.0,0.00929767928933549,3.2101467197462274e-10,6.213083866978451e-11,2.1409946977328108e-09,0.0,0.0,0.0,0.0,0.0,0.001284872834064696,0.0,0.01871037194369622
8,4.680319435920876e-08,0.0,0.0,0.0,0.0,0.025399989892532032,0.003599999919640516,0.007199999301695325,0.007199998586412752,0.0026700003643349494,0.0,0.011000149781410014,1.554595020429268e-10,0.0,0.007200005979944814,0.0,3.179509474250079e-09,0.007199999196233485,2.430850869536146e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.825028276930167e-10,0.0,0.0035999988107061603,0.003600000665311821,0.0,0.0,0.0,0.0010707038813543884,0.0,0.0,0.001414596432972635,0.007200077414853674,0.17758857844032547,0.0,7.664325378787364e-12,0.007200047298829894,3.0834686691523395e-10,9.867788147125285e-08,1.8740135887784645e-10,7.801825099357942e-10,6.196994926980174e-10,2.578261968302955e-10,0.0008293282416150633,2.8437503208180845e-10,1.2107933639832839e-11,0.014400001242545951,3.0662537163370607e-10,0.007199998814230114,0.0048774420563665035,0.0,0.00640193756608126,0.018199997888892136,0.0,0.0,0.0032110512539792243,0.0,1.3753007008394882e-10,0.0,0.0,0.0,0.0,0.013473531378801765,9.41561876679386e-10,1.6439694346652787e-10,1.1654114959284819e-07,0.0,0.0,0.0,0.0,0.0,0.0012268420240647163,0.0,0.01221258629159244
9,0.007199999243406306,0.0,0.0,0.0,0.0,0.025399989741769533,0.003599999924708615,0.007199999613074865,0.007199998979827457,0.0071999944108204405,0.0,0.025599979292771514,0.0035999996900568697,0.0,0.010799995690438746,0.0,0.003599994177967614,0.007199999169320891,0.010999996410682129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017526499690836757,0.0,0.0035999993112520363,0.015538847798579258,0.0,0.0,0.0,0.007199997967474293,0.0,0.0,0.014399995648170663,0.018199834230754275,0.5543488234664914,0.0,0.0018241459522439765,0.04508833116603922,0.007199999591876598,0.010999996221237778,0.007199999462411889,0.0066125477008261825,0.013095522724981629,0.00719999848376289,0.034239028902151906,0.0033767577554417935,0.004983809403470416,0.03216512605546161,0.010719458419824988,0.010829406100709416,0.0,0.0,0.01711805838529641,0.010624291679031833,0.0,0.0,0.0072,0.0,0.004957189776149774,0.0,0.0,0.0,0.0,0.027145664609433677,0.009333640316922904,0.008057701842345793,0.021999911432560325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056313116492398174
