,GeoPoint,Shape,x,y,node,xyGPS,xGPS,yGPS
SS0,"7772730.90774, 1580714.27584","[1580714.2758405802, 7772730.907737081]",1580714.27584,7772730.90774,N2584,"(1.4863026231050731, 45.148511506990275)",1.486302623105073,45.148511506990275
SS1,"7787946.55121, 1579355.54462","[1579355.5446193258, 7787946.551205082]",1579355.54462,7787946.55121,N2585,"(1.4651622818051573, 45.284870185590691)",1.4651622818051573,45.28487018559069
SS2,"7777271.86537, 1592864.71045","[1592864.71044305, 7777271.865374982]",1592864.71045,7777271.86537,N2586,"(1.6394202290045647, 45.191343914390394)",1.6394202290045647,45.191343914390394
SS3,"7774384.59397, 1585822.80655","[1585822.806551964, 7774384.593971048]",1585822.80655,7774384.59397,N2587,"(1.5507115658048596, 45.164252468490318)",1.5507115658048596,45.16425246849032
