,GeoPoint,Shape,x,y,node,xGPS,yGPS,Geo,Geo_Name,Annual_Load_MWh,Pmax_MW
BT718,"7773724.47747, 1583686.04053","[1583686.040529897, 7773724.477467097]",1583686.0405299999,7773724.4774699975,N2737,1.5237585890055392,45.157956594116364,190310104,Arsonval,795.241111111111,0.17275388801700636
BT724,"7772420.45972, 1591424.58158","[1591424.5815775439, 7772420.45971759]",1591424.58158,7772420.45972,N3468,1.622253123435224,45.1475557862123,190430000,La Chapelle-aux-Brocs,146.04409090909093,0.036251394697453976
BT728,"7762662.53449, 1593825.21364","[1593825.2136426265, 7762662.53449323]",1593825.21364,7762662.534489999,N3107,1.6549027046719595,45.06034300426053,190570000,Collonges-la-Rouge,154.56612500000003,0.03418487417487262
BT729,"7764119.99073, 1593377.93113","[1593377.931130928, 7764119.990732537]",1593377.93113,7764119.9907300025,N4023,1.6489088306933382,45.073355210167094,190570000,Collonges-la-Rouge,154.56612500000003,0.03418487417487262
BT733,"7768763.85392, 1587696.37632","[1587696.3763216108, 7768763.853915581]",1587696.37632,7768763.85392,N3488,1.5758260596832985,45.114111265429536,190630000,Cosnac,244.09871428571432,0.06076796331385337
BT734,"7770767.52206, 1587236.40615","[1587236.4061435305, 7770767.5220569065]",1587236.40615,7770767.52206,N3342,1.5695156070861038,45.132021089319046,190630000,Cosnac,244.09871428571432,0.06076796331385337
BT735,"7773356.21954, 1590442.32776","[1590442.3277612687, 7773356.219541133]",1590442.32776,7773356.219539999,N3390,1.6095743209888265,45.15579588097989,190630000,Cosnac,244.09871428571432,0.06076796331385337
BT736,"7773230.94658, 1587509.37634","[1587509.3763365843, 7773230.9465820985]",1587509.37634,7773230.94658,N2734,1.572390006448623,45.154182466871994,190630000,Cosnac,244.09871428571432,0.06076796331385337
BT737,"7772744.2693, 1588028.57256","[1588028.5725608196, 7772744.269298507]",1588028.57256,7772744.2693,N3271,1.579093133594011,45.1499007667035,190630000,Cosnac,244.09871428571432,0.06076796331385337
BT738,"7767206.08648, 1588550.40267","[1588550.4026694235, 7767206.086481991]",1588550.40267,7767206.08648,N3638,1.5870214932125095,45.10027022917232,190630000,Cosnac,244.09871428571432,0.06076796331385337
BT739,"7772321.3355, 1587381.92169","[1587381.921690221, 7772321.335501472]",1587381.92169,7772321.3355,N3266,1.5709901425023385,45.14599490287701,190630000,Cosnac,244.09871428571432,0.06076796331385337
BT740,"7771161.45777, 1588807.49593","[1588807.4959236796, 7771161.45776562]",1588807.49593,7771161.457769997,N3346,1.5893485015838609,45.135821556230574,190630000,Cosnac,244.09871428571432,0.06076796331385337
