,GeoPoint,Shape,x,y,node,xGPS,yGPS,Geo,Geo_Name,Annual_Load_MWh,Pmax_MW
BT961,"7761570.24949, 1593459.45844","[1593459.4584453262, 7761570.249489018]",1593459.45844,7761570.2494899975,N4212,1.6505159911368437,45.050479445497906,190570000,Collonges-la-Rouge,154.56612500000003,0.03418487417487262
BT964,"7770162.23924, 1586503.60246","[1586503.6024574996, 7770162.239240885]",1586503.60246,7770162.239239999,N3368,1.5603672991367443,45.126462907582656,190630000,Cosnac,244.09871428571432,0.06076796331385337
BT965,"7773286.98444, 1587738.99148","[1587738.9914797607, 7773286.984440673]",1587738.9914799999,7773286.98444,N2728,1.57529000490797,45.15472427908429,190630000,Cosnac,244.09871428571432,0.06076796331385337
BT971,"7767286.17556, 1587324.54521","[1587324.5452100304, 7767286.175560281]",1587324.5452100001,7767286.17556,N3608,1.5714643906044683,45.10078322038759,190930000,Jugeals-Nazareth,167.27380952380952,0.04372274047918495
BT972,"7766846.17681, 1595486.18833","[1595486.188330284, 7766846.176805676]",1595486.18833,7766846.176810001,N3983,1.6750158422998804,45.09816217542887,190990000,Lagleygeolle,37.42495454545454,0.009406352352635735
BT973,"7763326.05604, 1598728.37221","[1598728.3722089664, 7763326.056041365]",1598728.37221,7763326.056039997,N4310,1.7168652056176794,45.06706143257789,190990000,Lagleygeolle,37.42495454545454,0.009406352352635735
BT974,"7765060.7251, 1597463.79113","[1597463.7911324976, 7765060.725098336]",1597463.79113,7765060.7251,N4207,1.7004695857723415,45.08244067350459,190990000,Lagleygeolle,37.42495454545454,0.009406352352635735
BT975,"7769203.32497, 1594098.32732","[1594098.3273144166, 7769203.324966813]",1594098.3273200004,7769203.324969999,N3798,1.6568961057745837,45.119104142919646,191050000,Lanteuil,60.11548484848485,0.01523434068566271
BT976,"7767705.70295, 1594097.59668","[1594097.5966761129, 7767705.702953705]",1594097.59668,7767705.70295,N3849,1.657222762554605,45.10565933515749,191050000,Lanteuil,60.11548484848485,0.01523434068566271
BT977,"7768584.75455, 1590290.89745","[1590290.897455177, 7768584.7545522135]",1590290.89745,7768584.75455,N2987,1.608762541139538,45.1129353965694,191050000,Lanteuil,60.11548484848485,0.01523434068566271
BT978,"7770339.7053, 1594082.9829","[1594082.9829010973, 7770339.7052959595]",1594082.9829,7770339.7053,N3752,1.6564464989896774,45.1293035153263,191050000,Lanteuil,60.11548484848485,0.01523434068566271
BT979,"7760893.61742, 1591563.91288","[1591563.9128774551, 7760893.617415749]",1591563.91288,7760893.61742,N4187,1.6266664910358433,45.04410030532849,191150000,Ligneyrac,124.00484999999999,0.025707403362877187
BT980,"7762891.76338, 1591211.33757","[1591211.3375673627, 7762891.763383931]",1591211.33757,7762891.76338,N4016,1.6217427447389203,45.06197984205514,191150000,Ligneyrac,124.00484999999999,0.025707403362877187
BT981,"7760207.06898, 1590299.15648","[1590299.1564768052, 7760207.068979375]",1590299.15648,7760207.06898,N4198,1.6108111126449478,45.037730805096025,191150000,Ligneyrac,124.00484999999999,0.025707403362877187
BT982,"7775655.14222, 1588305.84203","[1588305.842030633, 7775655.142219001]",1588305.84203,7775655.14222,N2783,1.5819209137964834,45.17608005559922,191230102,Nord,369.9580571428572,0.07931128137282856
BT983,"7774036.68901, 1588315.11241","[1588315.112410492, 7774036.689005202]",1588315.11241,7774036.689010001,N2760,1.5824222349973724,45.1615516502333,191230103,Sud,510.0748857142857,0.11050399289154605
BT986,"7777290.60332, 1588348.64197","[1588348.6419721951, 7777290.603315612]",1588348.64197,7777290.60332,N2829,1.5820764020758449,45.190770087329376,191230102,Nord,369.9580571428572,0.07931128137282856
BT987,"7774325.52132, 1586826.94222","[1586826.9422234532, 7774325.5213230485]",1586826.94222,7774325.5213199975,N2613,1.5634685192617277,45.163893500162345,191230101,Centre,907.5469445421402,0.18604829417620133
BT988,"7775172.33471, 1587336.86184","[1587336.8618360772, 7775172.334707672]",1587336.86184,7775172.334710001,N2670,1.5697370251540257,45.17158233271191,191230101,Centre,907.5469445421402,0.18604829417620133
BT989,"7775381.48972, 1587109.19505","[1587109.195049917, 7775381.489721749]",1587109.19505,7775381.48972,N3223,1.5667973503062784,45.173421508174656,191230101,Centre,907.5469445421402,0.18604829417620133
BT990,"7773643.26408, 1588410.18116","[1588410.1811650933, 7773643.264075609]",1588410.1811600004,7773643.26408,N2775,1.5837217796390826,45.15803556722885,191230103,Sud,510.0748857142857,0.11050399289154605
BT991,"7773870.84608, 1587092.57856","[1587092.5785558296, 7773870.846075485]",1587092.57856,7773870.8460800005,N2645,1.5669484315566418,45.159856691231525,191230103,Sud,510.0748857142857,0.11050399289154605
BT992,"7775014.78327, 1589322.08276","[1589322.0827617028, 7775014.783271777]",1589322.0827600001,7775014.78327,N3310,1.594970689983519,45.17050074317407,191230103,Sud,510.0748857142857,0.11050399289154605
BT993,"7775887.53494, 1586472.45406","[1586472.4540613126, 7775887.534939151]",1586472.4540600001,7775887.53494,N3227,1.5585935895879686,45.17785638659773,191230102,Nord,369.9580571428572,0.07931128137282856
BT994,"7763100.52504, 1595266.9282","[1595266.9281990987, 7763100.525038283]",1595266.9282,7763100.52504,N4193,1.6730666416154765,45.064502608105535,191380000,Meyssac,260.17772222222226,0.056449035366194215
BT995,"7762016.72538, 1595886.76714","[1595886.7671418684, 7762016.725381564]",1595886.76714,7762016.7253800025,N4287,1.681156735681094,45.054870372975614,191380000,Meyssac,260.17772222222226,0.056449035366194215
BT1003,"7761164.13905, 1593344.82017","[1593344.8201674048, 7761164.139050927]",1593344.82017,7761164.13905,N4223,1.6491557666375898,45.04681557388203,191790000,Saillac,150.37257142857143,0.03733447715408755
BT1004,"7761950.58598, 1599552.37306","[1599552.3730554495, 7761950.585982232]",1599552.3730600001,7761950.58598,N4347,1.7275955940623664,45.0548382924706,191840000,Saint-Bazile-de-Meyssac,72.919875,0.01948785539458602
BT1025,"7767555.58411, 1600972.15773","[1600972.1577285985, 7767555.584112473]",1600972.1577299999,7767555.58411,N4303,1.7444029931224905,45.105367939468145,192570000,Sérilhac,50.12495238095238,0.012867192462094432
BT1026,"7766354.57165, 1597890.83311","[1597890.8331066032, 7766354.571654534]",1597890.83311,7766354.57165,N4179,1.705601240548367,45.0941213529499,192570000,Sérilhac,50.12495238095238,0.012867192462094432
BT1027,"7765495.36295, 1600925.46054","[1600925.4605404332, 7765495.362947018]",1600925.46054,7765495.36295,N4326,1.7442430750980888,45.08686558491677,192570000,Sérilhac,50.12495238095238,0.012867192462094432
BT1028,"7766560.22634, 1599163.23332","[1599163.2333145777, 7766560.226337384]",1599163.23332,7766560.22634,N4249,1.721684007872449,45.096161154714345,192570000,Sérilhac,50.12495238095238,0.012867192462094432
BT1029,"7762253.07085, 1586860.20081","[1586860.2008142825, 7762253.0708535975]",1586860.20081,7762253.07085,N3979,1.5667832382514206,45.055523108156926,192730000,Turenne,97.96497619047621,0.02453301509994311
BT1030,"7760367.72751, 1588928.73246","[1588928.7324521395, 7760367.727506535]",1588928.73246,7760367.7275100015,N4150,1.5934231006034123,45.03894642572232,192730000,Turenne,97.96497619047621,0.02453301509994311
BT1031,"7760402.42518, 1589425.67883","[1589425.6788324872, 7760402.425178145]",1589425.6788299999,7760402.42518,N4177,1.5997067622727592,45.03934036940614,192730000,Turenne,97.96497619047621,0.02453301509994311
BT1032,"7767069.05219, 1589608.47268","[1589608.4726782402, 7767069.052192002]",1589608.47268,7767069.052189997,N3678,1.6004648708274605,45.099216025272405,192730000,Turenne,97.96497619047621,0.02453301509994311
BT1033,"7762504.00263, 1586275.73206","[1586275.732055029, 7762504.002631709]",1586275.73206,7762504.00263,N3949,1.5593208417681916,45.057676319275465,192730000,Turenne,97.96497619047621,0.02453301509994311
BT1034,"7761349.17605, 1585727.58678","[1585727.586775228, 7761349.176052963]",1585727.58678,7761349.17605,N4050,1.5526574004659857,45.047216277664134,192730000,Turenne,97.96497619047621,0.02453301509994311
BT1035,"7764515.9666, 1588291.62469","[1588291.6246863422, 7764515.966596283]",1588291.62469,7764515.9666,N3827,1.5843773282502025,45.076077749723986,192730000,Turenne,97.96497619047621,0.02453301509994311
BT1036,"7776240.90087, 1582879.46756","[1582879.4675645554, 7776240.900874934]",1582879.46756,7776240.90087,N3315,1.5128987269483891,45.18040654654526,192740000,Ussac,367.3753835616439,0.07894207065344112
BT1037,"7777938.4813, 1585344.65282","[1585344.6528199392, 7777938.481296164]",1585344.6528200004,7777938.4813,N2814,1.5437784758047268,45.196076049624864,192740000,Ussac,367.3753835616439,0.07894207065344112
BT1040,"7776427.07276, 1584537.59434","[1584537.5943445852, 7776427.0727560045]",1584537.59434,7776427.072760001,N2753,1.5339013547457323,45.18236751372545,192740000,Ussac,367.3753835616439,0.07894207065344112
BT1041,"7776136.15877, 1584151.02082","[1584151.020814634, 7776136.158766314]",1584151.02082,7776136.15877,N3263,1.529065578772144,45.179688640424395,192740000,Ussac,367.3753835616439,0.07894207065344112
BT1042,"7775747.73763, 1582958.84541","[1582958.8454101195, 7775747.73762771]",1582958.84541,7775747.73763,N3293,1.514028897502897,45.17599307661088,192740000,Ussac,367.3753835616439,0.07894207065344112
BT1043,"7777600.22989, 1585928.62692","[1585928.6269168137, 7777600.229893006]",1585928.6269200004,7777600.229889999,N3299,1.5512756177460467,45.19313960976394,192740000,Ussac,367.3753835616439,0.07894207065344112
BT1045,"7777258.75105, 1582969.30514","[1582969.3051464316, 7777258.751046507]",1582969.30514,7777258.75105,N2831,1.5137861395224634,45.18956026042062,192740000,Ussac,367.3753835616439,0.07894207065344112
BT1046,"7777398.93836, 1583398.52488","[1583398.524873715, 7777398.938359106]",1583398.52488,7777398.938360001,N3341,1.519200844884543,45.19089413359954,192740000,Ussac,367.3753835616439,0.07894207065344112
BT1047,"7777165.00859, 1584738.5454","[1584738.5453966765, 7777165.008589984]",1584738.5454,7777165.00859,N2788,1.5362716821470996,45.18902731249111,192740000,Ussac,367.3753835616439,0.07894207065344112
BT1056,"7767417.53875, 1598388.05949","[1598388.0594923832, 7767417.538747917]",1598388.05949,7767417.53875,N4167,1.711674522873657,45.10373991810845,192570000,Sérilhac,50.12495238095238,0.012867192462094432
BT1057,"7777632.41537, 1584126.87846","[1584126.878460219, 7777632.415369008]",1584126.87846,7777632.41537,N2820,1.5283908935019137,45.19311740019927,192740000,Ussac,367.3753835616439,0.07894207065344112
BT1064,"7762355.34848, 1595538.54498","[1595538.5449797045, 7762355.348480687]",1595538.54498,7762355.34848,N4251,1.6766717958083206,45.05785576058384,191380000,Meyssac,260.17772222222226,0.056449035366194215
BT1065,"7771282.79192, 1593768.74108","[1593768.7410770026, 7771282.79192321]",1593768.7410799996,7771282.79192,N3702,1.6522488281432566,45.13772009836186,190680000,Dampniat,95.69191666666667,0.024846672384441416
BT1072,"7767662.59134, 1591468.06813","[1591468.0681305302, 7767662.591344937]",1591468.06813,7767662.59134,N3017,1.6238990823990225,45.104849547045724,191050000,Lanteuil,60.11548484848485,0.01523434068566271
BT1073,"7768980.28804, 1597488.73794","[1597488.7379361154, 7768980.28803543]",1597488.73794,7768980.288039999,N4035,1.6999350694526187,45.11763176333177,190230000,Beynat,102.76078125,0.024449150503338915
BT1074,"7778081.75373, 1589729.30447","[1589729.3044689714, 7778081.7537316475]",1589729.30447,7778081.75373,N3438,1.5994208685181488,45.198103100775796,192020000,Sainte-Féréole,139.8640877192983,0.03511443205169127
BT1075,"7774427.94051, 1587336.43472","[1587336.4347133518, 7774427.940508056]",1587336.43472,7774427.940510001,N2682,1.5699096036887004,45.16489934930889,191230103,Sud,510.0748857142857,0.11050399289154605
BT1076,"7769355.63072, 1591227.49187","[1591227.4918696422, 7769355.630721915]",1591227.49187,7769355.63072,N3621,1.6204593857095997,45.12000924427304,191050000,Lanteuil,60.11548484848485,0.01523434068566271
BT1078,"7771060.98266, 1594658.06888","[1594658.068884346, 7771060.982657941]",1594658.06888,7771060.98266,N3777,1.6635788830488956,45.135869951208,191050000,Lanteuil,60.11548484848485,0.01523434068566271
BT1079,"7765900.40195, 1599226.51406","[1599226.5140600633, 7765900.401953174]",1599226.51406,7765900.40195,N4285,1.7226268040041508,45.09024725916155,192570000,Sérilhac,50.12495238095238,0.012867192462094432
BT1081,"7763617.94627, 1595304.52479","[1595304.5247884889, 7763617.946265339]",1595304.52479,7763617.946269997,N3106,1.6734283387225513,45.06915339583208,191380000,Meyssac,260.17772222222226,0.056449035366194215
BT1086,"7778745.32275, 1584848.43033","[1584848.430331871, 7778745.3227508245]",1584848.43033,7778745.32275,N3366,1.5372801561813474,45.203234093982715,190720000,Donzenac,332.9254615384616,0.07031433803436393
BT1087,"7779546.73397, 1586306.63994","[1586306.6399338965, 7779546.73396557]",1586306.63994,7779546.733969999,N2879,1.5556049902812987,45.21067980263128,192740000,Ussac,367.3753835616439,0.07894207065344112
BT1088,"7779975.53577, 1584564.35801","[1584564.3580095663, 7779975.535766146]",1584564.35801,7779975.53577,N2912,1.5333707452094865,45.21422963072514,190720000,Donzenac,332.9254615384616,0.07031433803436393
BT1089,"7780514.50022, 1584656.47168","[1584656.4716762165, 7780514.500222748]",1584656.47168,7780514.50022,N3500,1.534408592953656,45.21908441536648,190720000,Donzenac,332.9254615384616,0.07031433803436393
BT1095,"7776540.68722, 1587047.47847","[1587047.4784681627, 7776540.687222451]",1587047.47847,7776540.68722,N3268,1.5657360095287227,45.18381800606868,191230102,Nord,369.9580571428572,0.07931128137282856
BT1111,"7768987.11495, 1596414.27927","[1596414.279265459, 7768987.11495173]",1596414.27927,7768987.11495,N3953,1.6863098132623602,45.11752698157535,190230000,Beynat,102.76078125,0.024449150503338915
BT1117,"7774127.99593, 1584108.07523","[1584108.0752299852, 7774127.995929563]",1584108.0752299996,7774127.99593,N2694,1.5290144316050098,45.16165272799422,190310104,Arsonval,795.241111111111,0.17275388801700636
BT1118,"7774016.42776, 1583975.43304","[1583975.4330385344, 7774016.427757472]",1583975.43304,7774016.42776,N2722,1.5273587282229129,45.16062803571325,190310104,Arsonval,795.241111111111,0.17275388801700636
BT1119,"7773465.91454, 1584222.70037","[1584222.7003693762, 7773465.914541947]",1584222.70037,7773465.9145399975,N2719,1.53063160921332,45.1557288371729,190310103,Poste,1301.8001000000002,0.28184589350402217
BT1121,"7775130.31872, 1585174.55506","[1585174.5550592174, 7775130.318718528]",1585174.55506,7775130.31872,N2610,1.542303379614462,45.17083584190367,190310702,Migoule,840.6918400000001,0.16922845293241287
BT1122,"7774998.51085, 1585335.63497","[1585335.6349713365, 7774998.510845156]",1585335.63497,7774998.51085,N2607,1.5443798501867414,45.16968027373357,190310702,Migoule,840.6918400000001,0.16922845293241287
BT1123,"7774047.39119, 1583566.87273","[1583566.87273544, 7774047.391189292]",1583566.87273,7774047.391189999,N2742,1.5221667365357483,45.16083472459571,190310405,Danton,875.1081791995548,0.1840868348695583
BT1124,"7775715.8458, 1585456.71758","[1585456.7175822188, 7775715.845796202]",1585456.71758,7775715.8458,N2625,1.5457421499757893,45.17614108082408,190310702,Migoule,840.6918400000001,0.16922845293241287
BT1125,"7775329.71745, 1585491.11155","[1585491.111554724, 7775329.717447248]",1585491.11155,7775329.71745,N2626,1.5462725788442486,45.172680470414235,190310702,Migoule,840.6918400000001,0.16922845293241287
BT1126,"7774337.62329, 1584864.35618","[1584864.3561747929, 7774337.623285292]",1584864.35618,7774337.62329,N3180,1.5385601112698268,45.16366580983348,190310102,Guierle,930.285230094106,0.1949644197370618
BT1127,"7773417.31655, 1585114.11131","[1585114.111314196, 7773417.316545372]",1585114.11131,7773417.31655,N3198,1.5419538549505225,45.155446865831095,190310203,Caserne,847.3268946992425,0.20542706618829457
BT1128,"7773054.92368, 1586304.6677","[1586304.6676985277, 7773054.923683874]",1586304.6677,7773054.92368,N2665,1.5571472548244512,45.152397724755716,190310301,Rollinat,752.9503333333332,0.15282243027914627
BT1131,"7772844.41574, 1586822.5468","[1586822.5467942965, 7772844.415738496]",1586822.5468,7772844.415739999,N2713,1.5637683722768132,45.15059606420472,190310301,Rollinat,752.9503333333332,0.15282243027914627
BT1132,"7773077.46268, 1586705.22558","[1586705.2255772902, 7773077.462678627]",1586705.2255799999,7773077.46268,N2688,1.5622239079388702,45.15266830230305,190310301,Rollinat,752.9503333333332,0.15282243027914627
BT1133,"7769776.54992, 1585958.24843","[1585958.2484305901, 7769776.549915605]",1585958.24843,7769776.54992,N3384,1.5535446883962991,45.12290740562953,190310302,Breuil,301.86220833333334,0.07484823222711207
BT1134,"7775613.40705, 1585900.66248","[1585900.6624792668, 7775613.4070536755]",1585900.66248,7775613.40705,N2650,1.5514019812150546,45.17529762965745,190310702,Migoule,840.6918400000001,0.16922845293241287
BT1135,"7773010.26929, 1586921.14227","[1586921.1422650851, 7773010.269290586]",1586921.1422700004,7773010.269289997,N2709,1.5649794790673093,45.15210175428582,190310301,Rollinat,752.9503333333332,0.15282243027914627
BT1136,"7771143.109, 1585365.98627","[1585365.9862704393, 7771143.109001063]",1585365.98627,7771143.109,N3304,1.545702527699559,45.135073782180605,190310302,Breuil,301.86220833333334,0.07484823222711207
BT1137,"7775945.3912, 1585659.32251","[1585659.322510186, 7775945.39119551]",1585659.32251,7775945.3912,N3200,1.5482580989014203,45.17823668283063,190310702,Migoule,840.6918400000001,0.16922845293241287
BT1138,"7773672.21448, 1586536.62494","[1586536.6249390403, 7773672.21447876]",1586536.62494,7773672.2144800015,N2627,1.5599416235167078,45.157979006301574,190310301,Rollinat,752.9503333333332,0.15282243027914627
BT1140,"7773866.8144, 1584531.17144","[1584531.1714399834, 7773866.814403311]",1584531.17144,7773866.8144,N3208,1.5344473337059348,45.15938144346058,190310101,Centre,1154.06,0.25936133075057716
BT1141,"7769542.87254, 1585184.13359","[1585184.1335876721, 7769542.8725404935]",1585184.13359,7769542.872539999,N3401,1.5437854032345155,45.12067676278614,190310304,Bouquet,635.0135135135135,0.12831916053157089
BT1145,"7774295.0492, 1584634.5572","[1584634.5572047257, 7774295.049203126]",1584634.5572,7774295.0492,N2646,1.5356543719457043,45.16324383986143,190310102,Guierle,930.285230094106,0.1949644197370618
BT1146,"7775455.03968, 1585694.72773","[1585694.7277339047, 7775455.039677326]",1585694.72773,7775455.03968,N3188,1.5488265125546543,45.17384054701365,190310702,Migoule,840.6918400000001,0.16922845293241287
BT1150,"7773399.73446, 1585906.60961","[1585906.6096034367, 7773399.734456729]",1585906.60961,7773399.734460001,N3186,1.5520134610873382,45.15542521322076,190310202,Chapelies,568.16770096768,0.12865824848386506
BT1151,"7774083.20257, 1584275.79936","[1584275.7993616867, 7774083.20256611]",1584275.79936,7774083.20257,N3217,1.5311537771825667,45.16127975412492,190310104,Arsonval,795.241111111111,0.17275388801700636
BT1153,"7771464.58525, 1585702.96394","[1585702.9639465497, 7771464.5852487665]",1585702.96394,7771464.58525,N3283,1.5498986392214846,45.138017656500175,190310301,Rollinat,752.9503333333332,0.15282243027914627
BT1154,"7768976.94241, 1586451.00721","[1586451.0072082079, 7768976.942412481]",1586451.00721,7768976.9424100015,N3446,1.5599854756281415,45.115813274568175,190310302,Breuil,301.86220833333334,0.07484823222711207
BT1157,"7765423.79008, 1589888.71012","[1589888.7101181177, 7765423.790082677]",1589888.7101200004,7765423.7900800025,N3813,1.6044003087291507,45.08449271856633,191500000,Noailhac,82.57615789473684,0.021168730461267243
BT1163,"7771219.81324, 1594982.12347","[1594982.123473783, 7771219.813235076]",1594982.12347,7771219.813239999,N3026,1.6676537978553845,45.13734700793382,190030000,Albignac,55.11761111111111,0.014197734112475885
BT1165,"7770648.332, 1595704.34135","[1595704.3413502157, 7770648.331995386]",1595704.34135,7770648.332,N3036,1.6769409528006751,45.1323298941316,190030000,Albignac,55.11761111111111,0.014197734112475885
BT1167,"7771228.88502, 1591217.88537","[1591217.885366084, 7771228.88501622]",1591217.88537,7771228.88502,N3511,1.6199057153534218,45.13682466722481,190430000,La Chapelle-aux-Brocs,146.04409090909093,0.036251394697453976
BT1168,"7773049.92673, 1591092.88997","[1591092.8899690206, 7773049.9267346915]",1591092.8899700001,7773049.92673,N2904,1.6178997124181445,45.15315276064832,190430000,La Chapelle-aux-Brocs,146.04409090909093,0.036251394697453976
BT1170,"7762886.02779, 1593771.96747","[1593771.9674707674, 7762886.027787493]",1593771.96747,7762886.02779,N3103,1.6541780967942208,45.062340811112364,190570000,Collonges-la-Rouge,154.56612500000003,0.03418487417487262
BT1171,"7762219.37212, 1593630.61012","[1593630.6101206748, 7762219.372124819]",1593630.61012,7762219.372119999,N4181,1.6525374874970482,45.056333804946604,190570000,Collonges-la-Rouge,154.56612500000003,0.03418487417487262
BT1173,"7770712.76496, 1589401.78984","[1589401.7898389976, 7770712.764955957]",1589401.78984,7770712.76496,N3414,1.5969915214164654,45.131892338826674,190630000,Cosnac,244.09871428571432,0.06076796331385337
BT1174,"7772310.87394, 1587755.16125","[1587755.1612456716, 7772310.8739432385]",1587755.16125,7772310.8739399975,N2778,1.575727553260453,45.145963960861906,190630000,Cosnac,244.09871428571432,0.06076796331385337
BT1175,"7768221.95128, 1588996.52367","[1588996.5236714594, 7768221.951277084]",1588996.52367,7768221.9512800025,N3519,1.5924374282855278,45.10946420711606,190630000,Cosnac,244.09871428571432,0.06076796331385337
BT1176,"7767462.92794, 1587559.94405","[1587559.9440479751, 7767462.927940007]",1587559.94405,7767462.92794,N2977,1.5744060737304444,45.10240967019038,190630000,Cosnac,244.09871428571432,0.06076796331385337
BT1177,"7780609.08337, 1583831.54476","[1583831.5447576027, 7780609.083366004]",1583831.54476,7780609.08337,N2942,1.5239060776344204,45.21979007112679,190720000,Donzenac,332.9254615384616,0.07031433803436393
BT1179,"7767447.3566, 1586815.96599","[1586815.9659871696, 7767447.3566003535]",1586815.96599,7767447.3566,N3587,1.5649793687407652,45.1021440370874,190930000,Jugeals-Nazareth,167.27380952380952,0.04372274047918495
BT1181,"7764761.11227, 1585999.13522","[1585999.1352207775, 7764761.112271121]",1585999.13522,7764761.1122699985,N3799,1.5552736198952577,45.07789064757984,190930000,Jugeals-Nazareth,167.27380952380952,0.04372274047918495
BT1185,"7764578.97091, 1589778.28765","[1589778.287647876, 7764578.970907089]",1589778.28765,7764578.9709100025,N3841,1.6031980726309074,45.076890568816516,191500000,Noailhac,82.57615789473684,0.021168730461267243
BT1186,"7763960.6151, 1598273.84369","[1598273.8436912685, 7763960.615101022]",1598273.84369,7763960.6151,N3155,1.7109708244884632,45.07268880488062,190990000,Lagleygeolle,37.42495454545454,0.009406352352635735
BT1187,"7761539.31931, 1594610.23417","[1594610.234162656, 7761539.319312611]",1594610.23417,7761539.31931,N4262,1.6650960322980537,45.050384450867654,190570000,Collonges-la-Rouge,154.56612500000003,0.03418487417487262
BT1190,"7772706.13976, 1584450.93698","[1584450.936981838, 7772706.139761265]",1584450.93698,7772706.1397600025,N2740,1.5337137352819077,45.14894763417858,190310302,Breuil,301.86220833333334,0.07484823222711207
BT1192,"7773858.39079, 1584154.30015","[1584154.3001530215, 7773858.390790957]",1584154.30015,7773858.39079,N2689,1.5296672751668248,45.15924038998116,190310104,Arsonval,795.241111111111,0.17275388801700636
BT1193,"7774794.50903, 1585606.25553","[1585606.255526195, 7774794.509026159]",1585606.25553,7774794.50903,N2595,1.5478639665522242,45.16789536072547,190310701,Hopital,1076.7573698771766,0.22398659196041895
BT1194,"7774726.63406, 1583239.67518","[1583239.6751780966, 7774726.634062104]",1583239.67518,7774726.634060001,N2748,1.5178465199296467,45.166875354771754,190310602,Sauvajoux,1108.346950134159,0.24173545133242616
BT1195,"7773875.85401, 1583899.93363","[1583899.9336237228, 7773875.854011489]",1583899.9336299999,7773875.854010001,N2726,1.526435321584956,45.159352883278025,190310104,Arsonval,795.241111111111,0.17275388801700636
BT1202,"7773321.51107, 1585156.58845","[1585156.5884458234, 7773321.511073112]",1585156.58845,7773321.51107,N2643,1.5425161514586363,45.15459409796306,190310203,Caserne,847.3268946992425,0.20542706618829457
BT1203,"7772311.98924, 1587048.27569","[1587048.2756850647, 7772311.98924173]",1587048.27569,7772311.989239999,N3242,1.5667597543678282,45.145854524575526,190310301,Rollinat,752.9503333333332,0.15282243027914627
BT1204,"7771757.31712, 1584892.10617","[1584892.1061692887, 7771757.317117486]",1584892.10617,7771757.31712,N3279,1.5395422707133035,45.14050605161293,190310302,Breuil,301.86220833333334,0.07484823222711207
BT1207,"7769321.76086, 1586232.81467","[1586232.8146735248, 7769321.760859829]",1586232.81467,7769321.760860003,N3403,1.5571359469600992,45.118871578791094,190310302,Breuil,301.86220833333334,0.07484823222711207
BT1208,"7770341.78759, 1585850.39435","[1585850.3943420795, 7770341.787593696]",1585850.39435,7770341.78759,N3351,1.5520403220061898,45.12796322315835,190310302,Breuil,301.86220833333334,0.07484823222711207
BT1209,"7770722.56619, 1585959.24972","[1585959.2497269353, 7770722.566185187]",1585959.24972,7770722.56619,N3330,1.5533287586157274,45.13140021303221,190310301,Rollinat,752.9503333333332,0.15282243027914627
BT1210,"7774729.11622, 1584057.9854","[1584057.985393753, 7774729.116222949]",1584057.9854,7774729.116219997,N3233,1.5282309126849387,45.16704058336494,190310701,Hopital,1076.7573698771766,0.22398659196041895
BT1213,"7772759.81234, 1586619.12474","[1586619.124741249, 7772759.812337915]",1586619.1247399999,7772759.81234,N3226,1.5612078918884742,45.149801954008744,190310301,Rollinat,752.9503333333332,0.15282243027914627
BT1214,"7773845.19758, 1584591.09073","[1584591.0907288701, 7773845.197577762]",1584591.0907299996,7773845.19758,N2656,1.5352129453186962,45.15919776181058,190310101,Centre,1154.06,0.25936133075057716
BT1216,"7770811.86701, 1586347.12841","[1586347.1284073074, 7770811.867012464]",1586347.1284100001,7770811.86701,N2816,1.558226521539574,45.13226814586854,190310301,Rollinat,752.9503333333332,0.15282243027914627
BT1217,"7774682.07523, 1585207.15383","[1585207.1538370633, 7774682.075225312]",1585207.15383,7774682.0752300015,N2604,1.5428263279141023,45.16681731283117,190310701,Hopital,1076.7573698771766,0.22398659196041895
BT1218,"7771667.41848, 1585135.48839","[1585135.488393698, 7771667.418482844]",1585135.48839,7771667.41848,N3262,1.5426513724586726,45.13974099436404,190310302,Breuil,301.86220833333334,0.07484823222711207
BT1224,"7773322.40225, 1586334.47345","[1586334.4734449037, 7773322.402252726]",1586334.47345,7773322.40225,N2634,1.5574609210701549,45.15480409876666,190310301,Rollinat,752.9503333333332,0.15282243027914627
BT1238,"7769002.04806, 1596874.80035","[1596874.8003490497, 7769002.04806011]",1596874.80035,7769002.048060001,N3978,1.6921457926164525,45.11773243418933,190230000,Beynat,102.76078125,0.024449150503338915
BT1240,"7765090.36372, 1586275.69815","[1586275.6981472245, 7765090.363720225]",1586275.69815,7765090.36372,N3023,1.5586984332400489,45.08089348698848,190930000,Jugeals-Nazareth,167.27380952380952,0.04372274047918495
BT1241,"7766463.07339, 1597264.1785","[1597264.178501882, 7766463.073390008]",1597264.1785,7766463.07339,N4140,1.6976353401805109,45.094999180189724,190990000,Lagleygeolle,37.42495454545454,0.009406352352635735
BT1242,"7764353.5091, 1598842.45363","[1598842.453629117, 7764353.509098291]",1598842.45363,7764353.5091,N4292,1.7180905662151105,45.07630231460549,190990000,Lagleygeolle,37.42495454545454,0.009406352352635735
BT1243,"7766190.43699, 1594347.54133","[1594347.5413270977, 7766190.436988101]",1594347.54133,7766190.4369899975,N3946,1.6607301547408415,45.09209605920756,190990000,Lagleygeolle,37.42495454545454,0.009406352352635735
BT1244,"7766299.43812, 1595224.48432","[1595224.4843220888, 7766299.438120881]",1595224.48432,7766299.43812,N3974,1.6718199949781714,45.09321290768182,190990000,Lagleygeolle,37.42495454545454,0.009406352352635735
