,x,y,Shape,xyGPS,xGPS,yGPS
N717,1595814.3068012956,7757656.081532445,"(1595814.3068012956, 7757656.0815324448)","(1.6811985332044126, 45.01571472738982)",1.6811985332044126,45.01571472738982
N718,1591443.5414861154,7774279.0901429495,"(1591443.5414861154, 7774279.0901429495)","(1.6220656214046187, 45.16424502789031)",1.6220656214046187,45.16424502789031
N719,1591214.732787073,7774359.575094269,"(1591214.7327870729, 7774359.5750942687)","(1.619143354504629, 45.164930271190286)",1.619143354504629,45.164930271190286
N720,1594134.4588097676,7774205.578342092,"(1594134.4588097676, 7774205.5783420922)","(1.6562314006045091, 45.164018163590278)",1.6562314006045091,45.16401816359028
N721,1592951.9345355611,7773774.810525724,"(1592951.9345355611, 7773774.8105257237)","(1.6413224627045546, 45.159961847490287)",1.6413224627045546,45.15996184749029
N722,1583730.322083901,7780545.043956664,"(1583730.3220839009, 7780545.0439566644)","(1.5226360502049585, 45.219197446690494)",1.5226360502049585,45.219197446690494
N723,1584559.0126341113,7782769.175569501,"(1584559.0126341113, 7782769.1755695008)","(1.5326168704049268, 45.239310172790532)",1.5326168704049268,45.23931017279053
N724,1582650.8084432378,7782086.544860523,"(1582650.8084432378, 7782086.5448605232)","(1.5085381166050096, 45.232847530690535)",1.5085381166050096,45.232847530690535
N725,1585585.7920614579,7781206.187754049,"(1585585.7920614579, 7781206.187754049)","(1.546045628304882, 45.225454869790511)",1.546045628304882,45.22545486979051
N726,1597184.501819785,7756014.853924026,"(1597184.501819785, 7756014.8539240258)","(1.6988953156043498, 45.001194478489758)",1.6988953156043498,45.00119447848976
N727,1592857.8111792076,7763592.715754617,"(1592857.8111792076, 7763592.715754617)","(1.642438857604543, 45.068538570489999)",1.642438857604543,45.06853857049
N728,1594511.8131988759,7760327.819889331,"(1594511.8131988759, 7760327.8198893312)","(1.6641196570044696, 45.039493536689896)",1.6641196570044696,45.039493536689896
N729,1597644.0085963204,7778609.690766466,"(1597644.0085963204, 7778609.6907664659)","(1.6998125057043645, 45.204107104990435)",1.6998125057043645,45.204107104990435
N730,1586715.630491877,7768740.216011584,"(1586715.630491877, 7768740.2160115838)","(1.5633973986048122, 45.113733153890138)",1.5633973986048122,45.11373315389014
N731,1589440.7214087571,7771035.117618952,"(1589440.7214087571, 7771035.1176189519)","(1.5974097376047038, 45.134792690690205)",1.5974097376047038,45.134792690690205
N732,1589415.6978787808,7770906.465047409,"(1589415.6978787808, 7770906.4650474088)","(1.5971225108047018, 45.133633571090193)",1.5971225108047018,45.13363357109019
N733,1588189.8048830305,7770278.43001067,"(1588189.8048830305, 7770278.4300106699)","(1.581723205404753, 45.127790954490195)",1.581723205404753,45.127790954490195
N734,1587540.785134333,7768752.337019783,"(1587540.785134333, 7768752.3370197834)","(1.5738561435047769, 45.113981651290132)",1.5738561435047769,45.11398165129013
N735,1594104.1021559404,7785497.349567052,"(1594104.1021559404, 7785497.349567052)","(1.6533038648045235, 45.265393408090617)",1.6533038648045235,45.26539340809062
N736,1586520.959325014,7765725.289147337,"(1586520.9593250139, 7765725.289147337)","(1.5616535997048171, 45.086634912290073)",1.561653599704817,45.08663491229007
N737,1585725.590772594,7764757.105007042,"(1585725.5907725941, 7764757.1050070422)","(1.5518088155048522, 45.077807882190015)",1.5518088155048522,45.077807882190015
N738,1585909.5936252966,7765331.133035471,"(1585909.5936252966, 7765331.1330354707)","(1.5540015594048397, 45.082992338490044)",1.5540015594048397,45.082992338490044
N739,1594059.8659454815,7777878.849255398,"(1594059.8659454815, 7777878.8492553979)","(1.6544584669045173, 45.196984705090394)",1.6544584669045173,45.196984705090394
N740,1595834.7989214982,7776599.045904729,"(1595834.7989214982, 7776599.0459047286)","(1.6772804068044382, 45.185774638290376)",1.6772804068044382,45.185774638290376
N741,1594525.725531898,7777124.928235488,"(1594525.725531898, 7777124.928235488)","(1.660543034204492, 45.190289932190389)",1.660543034204492,45.19028993219039
N742,1601042.9994732824,7771343.992111415,"(1601042.9994732824, 7771343.9921114147)","(1.7445067305042079, 45.139389357590211)",1.744506730504208,45.13938935759021
N743,1595073.9379212563,7770322.5557325175,"(1595073.9379212563, 7770322.5557325175)","(1.6690179530044598, 45.129306281590203)",1.6690179530044598,45.1293062815902
N744,1583288.0514635937,7780710.577532826,"(1583288.0514635937, 7780710.577532826)","(1.5169767453049767, 45.220606172690466)",1.5169767453049767,45.22060617269047
N745,1596544.2572924504,7756730.250859197,"(1596544.2572924504, 7756730.2508591972)","(1.690638650904378, 45.007517408689807)",1.690638650904378,45.00751740868981
N746,1586358.9129914623,7765304.044407898,"(1586358.9129914623, 7765304.0444078976)","(1.5597014423048214, 45.082825852590041)",1.5597014423048214,45.08282585259004
N747,1579479.6662559016,7788200.980084471,"(1579479.6662559016, 7788200.9800844714)","(1.4666755584051521, 45.287177071590691)",1.466675558405152,45.28717707159069
N748,1585660.3349562509,7761233.554424266,"(1585660.3349562509, 7761233.5544242663)","(1.5518337463048446, 45.04616687928992)",1.5518337463048446,45.04616687928992
N749,1587888.9085218664,7766375.833276041,"(1587888.9085218664, 7766375.8332760409)","(1.5788339320047597, 45.092706134790056)",1.5788339320047597,45.092706134790056
N750,1580754.0289380245,7778789.675777342,"(1580754.0289380245, 7778789.6757773422)","(1.4852730984050806, 45.202911344990412)",1.4852730984050806,45.20291134499041
N751,1585566.4839828499,7777417.22470287,"(1585566.4839828499, 7777417.2247028695)","(1.5467219548048747, 45.191434474390377)",1.5467219548048747,45.19143447439038
N752,1580322.684947233,7776196.898490921,"(1580322.6849472329, 7776196.8984909207)","(1.4804545403050933, 45.179556908590342)",1.4804545403050933,45.17955690859034
N753,1585786.8654677828,7777025.402129297,"(1585786.8654677828, 7777025.4021292971)","(1.549615122004864, 45.187954618690391)",1.549615122004864,45.18795461869039
N754,1581885.193710624,7777845.419446476,"(1581885.193710624, 7777845.4194464758)","(1.4998749925050363, 45.194635740590392)",1.4998749925050363,45.19463574059039
N755,1582135.5801125292,7776420.999844338,"(1582135.5801125292, 7776420.9998443378)","(1.5034108134050195, 45.181892151090381)",1.5034108134050195,45.18189215109038
N756,1582344.3011863802,7778235.145917905,"(1582344.3011863802, 7778235.1459179046)","(1.5056069857050138, 45.198215904790437)",1.5056069857050138,45.19821590479044
N757,1591037.517789258,7777268.952727742,"(1591037.5177892579, 7777268.9527277416)","(1.616221308004641, 45.191021219790379)",1.616221308004641,45.19102121979038
N758,1591053.7941981072,7776764.03893733,"(1591053.7941981072, 7776764.0389373302)","(1.6165448065046408, 45.186490804290379)",1.6165448065046408,45.18649080429038
N759,1578387.8504563705,7786663.587879819,"(1578387.8504563705, 7786663.5878798189)","(1.4531871985051963, 45.273174961290664)",1.4531871985051963,45.273174961290664
N760,1579473.4329407362,7788208.530249776,"(1579473.4329407362, 7788208.5302497763)","(1.4665943364051546, 45.28724372949069)",1.4665943364051546,45.28724372949069
N761,1579471.5032569128,7788297.6670861095,"(1579471.5032569128, 7788297.6670861095)","(1.4665468885051538, 45.288043686590726)",1.4665468885051538,45.288043686590726
N762,1593498.169313503,7776792.204460335,"(1593498.169313503, 7776792.204460335)","(1.6475717309045379, 45.187139156990369)",1.647571730904538,45.18713915699037
N763,1591607.0418895148,7779189.968431664,"(1591607.0418895148, 7779189.9684316637)","(1.6230099803046205, 45.208361133590415)",1.6230099803046205,45.208361133590415
N764,1594617.8433296352,7766195.403307984,"(1594617.8433296352, 7766195.4033079837)","(1.6641547364044722, 45.092183400790091)",1.6641547364044722,45.09218340079009
N765,1596477.60986495,7764055.054252506,"(1596477.6098649499, 7764055.0542525062)","(1.688193553004391, 45.073260350090031)",1.688193553004391,45.07326035009003
N766,1595317.6888154794,7766924.860812897,"(1595317.6888154794, 7766924.8608128969)","(1.6728626712044432, 45.098842117990102)",1.6728626712044432,45.0988421179901
N767,1594085.4407326747,7770600.438632168,"(1594085.4407326747, 7770600.4386321679)","(1.6564191406045021, 45.131644643190192)",1.6564191406045021,45.13164464319019
N768,1587310.6837290858,7775834.458932499,"(1587310.6837290858, 7775834.4589324994)","(1.5692463711047984, 45.177522258690345)",1.5692463711047984,45.177522258690345
N769,1589031.2942736389,7774422.357473057,"(1589031.2942736389, 7774422.3574730568)","(1.5914195744047235, 45.165133739490294)",1.5914195744047235,45.165133739490294
N770,1586557.9710947394,7774555.95773131,"(1586557.9710947394, 7774555.9577313103)","(1.5599997494048294, 45.165916513290306)",1.5599997494048294,45.165916513290306
N771,1586998.3452986728,7786832.738397221,"(1586998.3452986728, 7786832.7383972211)","(1.5626381574048334, 45.27621332559066)",1.5626381574048334,45.27621332559066
N772,1587369.2934480153,7787781.664544628,"(1587369.2934480153, 7787781.664544628)","(1.5671276401048124, 45.28479630359071)",1.5671276401048124,45.28479630359071
N773,1584833.530420515,7787076.488943353,"(1584833.530420515, 7787076.4889433533)","(1.5350490283049216, 45.278030255190636)",1.5350490283049216,45.278030255190636
N774,1592106.2801667985,7776224.868263806,"(1592106.2801667985, 7776224.8682638062)","(1.6300304426045928, 45.181821559090359)",1.6300304426045928,45.18182155909036
N775,1579296.8804203782,7776688.254866989,"(1579296.8804203782, 7776688.2548669893)","(1.4673074616051398, 45.183782925590371)",1.4673074616051398,45.18378292559037
N776,1580099.7733354864,7777610.22736372,"(1580099.7733354864, 7777610.2273637196)","(1.4772650857051075, 45.192205093490401)",1.4772650857051075,45.1922050934904
N777,1580292.7919534612,7779877.296576169,"(1580292.7919534612, 7779877.2965761693)","(1.4791390423051036, 45.212592968790453)",1.4791390423051036,45.21259296879045
N778,1579567.5973714523,7780229.649371545,"(1579567.5973714523, 7780229.6493715448)","(1.4698378301051351, 45.215625479790475)",1.4698378301051351,45.215625479790475
N779,1578420.0146434398,7778756.811263082,"(1578420.0146434398, 7778756.8112630816)","(1.4556417768051819, 45.202194056890413)",1.455641776805182,45.20219405689041
N780,1580182.614620495,7776897.385794766,"(1580182.6146204949, 7776897.3857947662)","(1.4784983080051044, 45.185820389590361)",1.4784983080051044,45.18582038959036
N781,1590632.4301116893,7762325.751381472,"(1590632.4301116893, 7762325.7513814718)","(1.6145409717046373, 45.056804252289943)",1.6145409717046373,45.05680425228994
N782,1590088.3772988645,7760235.463553125,"(1590088.3772988645, 7760235.463553125)","(1.6081359311046572, 45.037951031289872)",1.6081359311046572,45.03795103128987
N783,1590232.4712437233,7760259.830649552,"(1590232.4712437233, 7760259.8306495519)","(1.6099546049046516, 45.038193467389895)",1.6099546049046516,45.038193467389895
N784,1589455.8382193719,7761090.282998585,"(1589455.8382193719, 7761090.2829985851)","(1.5999279759046845, 45.045520005689902)",1.5999279759046845,45.0455200056899
N785,1591221.5910911122,7760892.958078007,"(1591221.5910911122, 7760892.9580780072)","(1.6223321175046075, 45.044038702789933)",1.6223321175046075,45.04403870278993
N786,1588674.1638884104,7777380.701141647,"(1588674.1638884104, 7777380.7011416471)","(1.5861881248047454, 45.191633487090407)",1.5861881248047454,45.19163348709041
N787,1586536.2807339656,7774593.242374881,"(1586536.2807339656, 7774593.2423748812)","(1.5597155062048293, 45.166247545790313)",1.5597155062048293,45.16624754579031
N788,1588346.6062038753,7777290.269139645,"(1588346.6062038753, 7777290.2691396447)","(1.58205063400476, 45.190766745690397)",1.58205063400476,45.1907667456904
N789,1595298.9653452693,7761673.841637078,"(1595298.9653452693, 7761673.8416370777)","(1.6737882003044364, 45.051700410789955)",1.6737882003044364,45.051700410789955
N790,1594934.9810561158,7761638.706808745,"(1594934.9810561158, 7761638.7068087449)","(1.6691864809044534, 45.051327824789944)",1.6691864809044534,45.051327824789944
N791,1597449.5633114818,7762475.112465023,"(1597449.5633114818, 7762475.1124650231)","(1.7008500366043464, 45.059227215589971)",1.7008500366043464,45.05922721558997
N792,1595816.501405296,7762325.076222607,"(1595816.5014052959, 7762325.0762226069)","(1.6801989317044166, 45.05762745038998)",1.6801989317044166,45.05762745038998
N793,1581027.5581565273,7763814.560822657,"(1581027.5581565273, 7763814.5608226573)","(1.4925234972050452, 45.068525846889997)",1.4925234972050452,45.06852584689
N794,1581446.3625714856,7761334.085717185,"(1581446.3625714856, 7761334.0857171854)","(1.4984502716050245, 45.046334321989946)",1.4984502716050245,45.046334321989946
N795,1583653.6814950134,7762794.181976122,"(1583653.6814950134, 7762794.1819761219)","(1.5260411295049336, 45.059829265589961)",1.5260411295049336,45.05982926558996
N796,1589853.3866785576,7765100.413685571,"(1589853.3866785576, 7765100.4136855714)","(1.6040280635046729, 45.081583940390047)",1.6040280635046729,45.08158394039005
N797,1590167.5942365536,7764308.690637421,"(1590167.5942365536, 7764308.6906374209)","(1.6081933027046589, 45.074528475590007)",1.6081933027046589,45.07452847559001
N798,1589780.584456592,7764259.430229806,"(1589780.5844565921, 7764259.4302298063)","(1.6033016660046759, 45.074022455890017)",1.603301666004676,45.07402245589002
N799,1584398.1643067158,7767916.386724862,"(1584398.1643067158, 7767916.3867248623)","(1.5342176434049104, 45.105939815890125)",1.5342176434049104,45.105939815890125
N800,1583210.8176557298,7765806.008273399,"(1583210.8176557298, 7765806.0082733994)","(1.5196881029049552, 45.086788238890058)",1.5196881029049552,45.08678823889006
N801,1596902.1475129742,7773876.90821636,"(1596902.1475129742, 7773876.90821636)","(1.6914269774043889, 45.161501531990282)",1.6914269774043889,45.16150153199028
N802,1597655.1083942838,7774025.164963714,"(1597655.1083942838, 7774025.1649637138)","(1.7009498898043558, 45.162948672490295)",1.7009498898043558,45.162948672490295
N803,1600656.8614555595,7765064.91771463,"(1600656.8614555595, 7765064.9177146303)","(1.7409297177042145, 45.08296140859003)",1.7409297177042145,45.08296140859003
N804,1586167.5245235115,7785633.859275155,"(1586167.5245235115, 7785633.8592751548)","(1.5523635703048622, 45.265307452390623)",1.5523635703048622,45.26530745239062
N805,1587995.0811841388,7785526.37846042,"(1587995.0811841388, 7785526.3784604203)","(1.5756252155047854, 45.264652861490646)",1.5756252155047854,45.264652861490646
N806,1593201.95064125,7761189.086683582,"(1593201.95064125, 7761189.0866835816)","(1.647341001804526, 45.047016684289929)",1.647341001804526,45.04701668428993
N807,1592361.0083933983,7760653.797382168,"(1592361.0083933983, 7760653.7973821675)","(1.636813991404559, 45.04207648968989)",1.636813991404559,45.04207648968989
N808,1590449.8207294226,7782458.102530767,"(1590449.8207294226, 7782458.1025307672)","(1.6075508547046757, 45.237513601290551)",1.6075508547046757,45.23751360129055
N809,1589165.3118365486,7780562.086423269,"(1589165.3118365486, 7780562.0864232685)","(1.591674718004725, 45.220277973890461)",1.591674718004725,45.22027797389046
N810,1589016.78092473,7782014.79507687,"(1589016.78092473, 7782014.7950768704)","(1.5894449001047357, 45.23329590779052)",1.5894449001047357,45.23329590779052
N811,1589879.437347902,7781480.560885101,"(1589879.437347902, 7781480.5608851006)","(1.6005316010046973, 45.228642787590516)",1.6005316010046973,45.228642787590516
N812,1588065.5134293183,7781764.319886062,"(1588065.5134293183, 7781764.3198860623)","(1.5774171129047763, 45.230887700390511)",1.5774171129047763,45.23088770039051
N813,1591176.3661570314,7784480.206656623,"(1591176.3661570314, 7784480.2066566227)","(1.6163152233046458, 45.255788152790586)",1.6163152233046458,45.255788152790586
N814,1591263.5038421352,7786804.884101414,"(1591263.5038421352, 7786804.8841014141)","(1.6168844634046444, 45.276674702390658)",1.6168844634046444,45.27667470239066
N815,1590687.144702573,7786778.283033117,"(1590687.1447025731, 7786778.2830331167)","(1.6095610742046722, 45.276341317690658)",1.6095610742046722,45.27634131769066
N816,1592777.003046132,7783731.739939902,"(1592777.0030461319, 7783731.739939902)","(1.6368336671045745, 45.249328083590548)",1.6368336671045745,45.24932808359055
N817,1580910.0569946438,7784335.387255121,"(1580910.0569946438, 7784335.387255121)","(1.4858496785050881, 45.252728468190583)",1.485849678505088,45.25272846819058
N818,1595528.2609254497,7769721.003567918,"(1595528.2609254497, 7769721.0035679182)","(1.6749130232044398, 45.123977196890174)",1.6749130232044398,45.12397719689017
N819,1600558.2460923262,7772077.135504219,"(1600558.2460923262, 7772077.1355042187)","(1.7382030796042298, 45.145899204890249)",1.7382030796042298,45.14589920489025
N820,1596667.059091098,7768905.569889907,"(1596667.0590910979, 7768905.5698899068)","(1.6895328188043872, 45.116834139190154)",1.6895328188043872,45.11683413919015
N821,1581457.9200152566,7770753.586574587,"(1581457.9200152566, 7770753.586574587)","(1.4962337107050399, 45.130893338590177)",1.4962337107050399,45.13089333859018
N822,1579892.2981373253,7770673.618281899,"(1579892.2981373253, 7770673.618281899)","(1.4763986595051064, 45.129895175590214)",1.4763986595051064,45.129895175590214
N823,1582130.7166808364,7770761.283062229,"(1582130.7166808364, 7770761.2830622289)","(1.5047643408050115, 45.131081746690192)",1.5047643408050115,45.13108174669019
N824,1585692.8989611373,7769484.446353731,"(1585692.8989611373, 7769484.4463537307)","(1.5502506737048569, 45.120239685890176)",1.550250673704857,45.120239685890176
N825,1583539.3129167703,7771711.643215985,"(1583539.3129167703, 7771711.643215985)","(1.5223939842049512, 45.139860986690245)",1.5223939842049512,45.139860986690245
N826,1592415.686605335,7771910.860977202,"(1592415.686605335, 7771910.8609772017)","(1.6349430991045759, 45.143141574590224)",1.634943099104576,45.143141574590224
N827,1591172.8727752059,7773034.660809617,"(1591172.8727752059, 7773034.6608096166)","(1.618918045004629, 45.153028778290285)",1.618918045004629,45.153028778290285
N828,1591193.5843102569,7773124.317458971,"(1591193.5843102569, 7773124.3174589714)","(1.6191601356046288, 45.153837065490265)",1.6191601356046288,45.153837065490265
N829,1592583.0377440904,7771852.243178051,"(1592583.0377440904, 7771852.243178051)","(1.6370793873045679, 45.142642325690225)",1.637079387304568,45.142642325690225
N830,1600103.3245598127,7775190.36902875,"(1600103.3245598127, 7775190.3690287499)","(1.7317718692042523, 45.173781520690341)",1.7317718692042523,45.17378152069034
N831,1599826.0063745629,7775134.19632383,"(1599826.0063745629, 7775134.1963238297)","(1.7282638073042678, 45.173235545290332)",1.7282638073042678,45.17323554529033
N832,1580560.5492324226,7767158.41224791,"(1580560.5492324226, 7767158.4122479102)","(1.4857626829050716, 45.0984592726901)",1.4857626829050716,45.0984592726901
N833,1580688.255950528,7767195.232612089,"(1580688.255950528, 7767195.2326120893)","(1.487372002905065, 45.098812661490115)",1.487372002905065,45.098812661490115
N834,1580659.418884052,7766509.042314324,"(1580659.418884052, 7766509.0423143236)","(1.4871798426050655, 45.09264768359008)",1.4871798426050655,45.09264768359008
N835,1581090.805875831,7766499.891018417,"(1581090.8058758311, 7766499.8910184167)","(1.4926491805050508, 45.092642574390069)",1.4926491805050508,45.09264257439007
N836,1593903.9342393717,7759746.145621865,"(1593903.9342393717, 7759746.1456218651)","(1.6565535508044935, 45.034175713889887)",1.6565535508044935,45.03417571388989
N837,1594837.9004494678,7758128.637504528,"(1594837.9004494678, 7758128.6375045283)","(1.668736640504451, 45.019803661289842)",1.668736640504451,45.01980366128984
N838,1595741.3496125771,7758443.71976437,"(1595741.3496125771, 7758443.7197643695)","(1.6801018875044136, 45.022773651389862)",1.6801018875044136,45.02277365138986
N839,1594481.117045152,7757651.230702031,"(1594481.117045152, 7757651.2307020314)","(1.6643273153044664, 45.015461934589844)",1.6643273153044664,45.015461934589844
N840,1592990.6454756306,7763565.00335447,"(1592990.6454756306, 7763565.0033544702)","(1.6441278670045385, 45.068311110690004)",1.6441278670045385,45.068311110690004
N841,1593410.2505472328,7761408.227860129,"(1593410.2505472328, 7761408.2278601294)","(1.6499293289045209, 45.049017155189929)",1.649929328904521,45.04901715518993
N842,1593155.000874998,7763616.971405249,"(1593155.000874998, 7763616.9714052491)","(1.6461981646045307, 45.06880395938996)",1.6461981646045307,45.06880395938996
N843,1591576.5184572616,7762301.356213917,"(1591576.5184572616, 7762301.356213917)","(1.6265035717045948, 45.056739277989976)",1.6265035717045948,45.056739277989976
N844,1598512.520606553,7777958.748603082,"(1598512.5206065529, 7777958.7486030823)","(1.7109831244043263, 45.1983957927904)",1.7109831244043263,45.1983957927904
N845,1595356.8080380303,7780145.876787038,"(1595356.8080380303, 7780145.8767870376)","(1.6704232562044634, 45.217543668590473)",1.6704232562044634,45.21754366859047
N846,1587266.410437438,7770761.224492033,"(1587266.4104374379, 7770761.224492033)","(1.5698976470047918, 45.131969629390191)",1.5698976470047918,45.13196962939019
N847,1591681.7891016596,7774796.052430662,"(1591681.7891016596, 7774796.0524306623)","(1.6249702552046097, 45.168924974990318)",1.6249702552046097,45.16892497499032
N848,1592298.2698841395,7773955.349994714,"(1592298.2698841395, 7773955.3499947144)","(1.6329865376045838, 45.161477320490299)",1.6329865376045838,45.1614773204903
N849,1593790.752205584,7775056.581180801,"(1593790.752205584, 7775056.5811808007)","(1.6516777614045224, 45.17160360309034)",1.6516777614045224,45.17160360309034
N850,1594318.1569671307,7775195.908477563,"(1594318.1569671307, 7775195.9084775634)","(1.6583404906045003, 45.17293836339033)",1.6583404906045003,45.17293836339033
N851,1582605.0783852763,7780816.948576868,"(1582605.0783852763, 7780816.9485768676)","(1.5082740854050076, 45.221441017390468)",1.5082740854050076,45.22144101739047
N852,1582247.3738803298,7780975.18686952,"(1582247.3738803298, 7780975.1868695198)","(1.503690317605022, 45.222798464790493)",1.503690317605022,45.22279846479049
N853,1582550.6770615052,7780964.263684999,"(1582550.6770615052, 7780964.2636849992)","(1.5075461950050097, 45.22275400639051)",1.5075461950050097,45.22275400639051
N854,1583310.544668413,7782444.950482857,"(1583310.544668413, 7782444.9504828574)","(1.516831980104977, 45.236181384690511)",1.516831980104977,45.23618138469051
N855,1585206.7578285274,7784009.39136917,"(1585206.7578285274, 7784009.3913691696)","(1.5405453658049004, 45.250557225390565)",1.5405453658049004,45.250557225390565
N856,1582968.5546576218,7789823.182808093,"(1582968.5546576218, 7789823.1828080928)","(1.510646669305008, 45.302365761390718)",1.510646669305008,45.30236576139072
N857,1595138.6254554316,7782845.024839743,"(1595138.6254554316, 7782845.024839743)","(1.6670495386044746, 45.241743293490551)",1.6670495386044746,45.24174329349055
N858,1586239.370771575,7767411.759473075,"(1586239.370771575, 7767411.7594730752)","(1.5576792487048285, 45.101726375090117)",1.5576792487048285,45.10172637509012
N859,1597397.140789359,7768533.213970308,"(1597397.1407893591, 7768533.2139703082)","(1.698870813904356, 45.113604077690134)",1.698870813904356,45.113604077690134
N860,1598472.6724168798,7768769.378436314,"(1598472.6724168798, 7768769.3784363139)","(1.7124564469043146, 45.115888879990138)",1.7124564469043146,45.11588887999014
N861,1579757.5818358187,7771185.962900057,"(1579757.5818358187, 7771185.9629000574)","(1.4745596257051132, 45.134470267790213)",1.4745596257051132,45.13447026779021
N862,1585704.4988418082,7765307.274571917,"(1585704.4988418082, 7765307.274571917)","(1.5514085579048482, 45.082743059790054)",1.5514085579048482,45.082743059790054
N863,1596965.3022622133,7772171.7377962405,"(1596965.3022622133, 7772171.7377962405)","(1.6926011055043835, 45.146202642290234)",1.6926011055043835,45.146202642290234
N864,1596840.9384724787,7772845.009982623,"(1596840.9384724787, 7772845.0099826232)","(1.6908760693043874, 45.152227867790266)",1.6908760693043874,45.152227867790266
N865,1578718.7875031761,7784945.205571282,"(1578718.7875031761, 7784945.2055712817)","(1.4578392387051826, 45.257807435890626)",1.4578392387051826,45.257807435890626
N866,1597564.422433485,7776321.76791725,"(1597564.422433485, 7776321.7679172503)","(1.6992996481043636, 45.183553563690353)",1.6992996481043636,45.18355356369035
N867,1598728.593507229,7775549.287262877,"(1598728.5935072289, 7775549.2872628774)","(1.7142452584043129, 45.176796267090353)",1.7142452584043129,45.17679626709035
N868,1599873.309116096,7766584.557534358,"(1599873.309116096, 7766584.5575343585)","(1.7306788568042493, 45.096486556990079)",1.7306788568042493,45.09648655699008
N869,1601017.5826234387,7767205.469443525,"(1601017.5826234387, 7767205.4694435252)","(1.7450522178042029, 45.102231541690074)",1.745052217804203,45.102231541690074
N870,1595137.0722067922,7773303.26739928,"(1595137.0722067922, 7773303.2673992803)","(1.669155876704461, 45.156075993290273)",1.669155876704461,45.15607599329027
N871,1581413.0995948182,7788897.481328234,"(1581413.0995948182, 7788897.4813282341)","(1.4910911013050707, 45.293778456090713)",1.4910911013050707,45.29377845609071
N872,1578731.0052779405,7784716.442582661,"(1578731.0052779405, 7784716.4425826613)","(1.4580536267051787, 45.255755799290611)",1.4580536267051787,45.25575579929061
N873,1580992.6527820874,7784209.207133979,"(1580992.6527820874, 7784209.2071339786)","(1.4869315224050808, 45.251610389490587)",1.4869315224050808,45.25161038949059
N874,1579465.3163884478,7782987.05157415,"(1579465.3163884478, 7782987.0515741501)","(1.4678316574051462, 45.240362697590541)",1.4678316574051462,45.24036269759054
N875,1582275.903579694,7787086.905910522,"(1582275.903579694, 7787086.9059105217)","(1.5025210049050339, 45.277675676490674)",1.502521004905034,45.277675676490674
N876,1580245.1403613905,7785336.535403512,"(1580245.1403613905, 7785336.5354035124)","(1.4771426546051141, 45.261597544890598)",1.477142654605114,45.2615975448906
N877,1581445.8665686767,7769596.83189958,"(1581445.8665686767, 7769596.8318995796)","(1.4963714513050357, 45.120506871390162)",1.4963714513050357,45.12050687139016
N878,1585370.4704669903,7771087.9490359705,"(1585370.4704669903, 7771087.9490359705)","(1.5457728056048734, 45.134579365290222)",1.5457728056048734,45.13457936529022
N879,1590990.1894370795,7774447.7239609985,"(1590990.1894370795, 7774447.7239609985)","(1.6162733706046379, 45.165684937990328)",1.616273370604638,45.16568493799033
N880,1591463.8034715476,7774090.505614719,"(1591463.8034715476, 7774090.5056147194)","(1.6223661899046189, 45.162555269790289)",1.622366189904619,45.16255526979029
N881,1582946.309528047,7782391.325320195,"(1582946.309528047, 7782391.3253201954)","(1.5122169505049954, 45.235635936290549)",1.5122169505049954,45.23563593629055
N882,1584483.2737185725,7782644.550936775,"(1584483.2737185725, 7782644.5509367753)","(1.5316850200049286, 45.238178123390547)",1.5316850200049286,45.23817812339055
N883,1583798.8887796702,7780389.183726261,"(1583798.8887796702, 7780389.1837262614)","(1.5235455749049545, 45.217810115890487)",1.5235455749049545,45.21781011589049
N884,1593900.3658574969,7785356.027167331,"(1593900.3658574969, 7785356.0271673314)","(1.6507453996045316, 45.264092040890617)",1.6507453996045316,45.26409204089062
N885,1586580.4659397353,7765870.142897248,"(1586580.4659397353, 7765870.1428972483)","(1.5623729005048128, 45.087945374890054)",1.5623729005048128,45.087945374890054
N886,1585726.6989908246,7767458.738276231,"(1585726.6989908246, 7767458.7382762311)","(1.551169518404852, 45.102060459190113)",1.551169518404852,45.10206045919011
N887,1597629.0529969938,7776268.052581531,"(1597629.0529969938, 7776268.052581531)","(1.7001318273043635, 45.183081244090353)",1.7001318273043635,45.18308124409035
N888,1597729.3709336994,7767658.0578029575,"(1597729.3709336994, 7767658.0578029575)","(1.7032726253043442, 45.105798464290118)",1.7032726253043442,45.10579846429012
N889,1599048.478058589,7769611.7113479,"(1599048.4780585889, 7769611.7113479003)","(1.7195771236042903, 45.123538399390149)",1.7195771236042903,45.12353839939015
N890,1597981.0443346773,7770919.072886306,"(1597981.0443346773, 7770919.0728863059)","(1.7057582222043346, 45.135112875490194)",1.7057582222043346,45.135112875490194
N891,1599277.8899206088,7768071.348139589,"(1599277.8899206088, 7768071.3481395887)","(1.7228149884042792, 45.109744442790131)",1.7228149884042792,45.10974444279013
N892,1600937.672622596,7768750.642288185,"(1600937.6726225959, 7768750.6422881847)","(1.7437151017042101, 45.116091477790135)",1.74371510170421,45.116091477790135
N893,1597944.3142672312,7767890.4172683135,"(1597944.3142672312, 7767890.4172683135)","(1.7059472279043328, 45.1079173800901)",1.7059472279043328,45.1079173800901
N894,1597908.0984727095,7770441.241909854,"(1597908.0984727095, 7770441.2419098541)","(1.7049363912043394, 45.130811913290195)",1.7049363912043394,45.130811913290195
